model,group,case,xlink_regime,run_dir,run_path,status
control,control,c0_m0,1:4,r0001,/home/thekaka/project/cytosim/control/2/r0001,ok
control,control,c0_m0,1:4,r0002,/home/thekaka/project/cytosim/control/2/r0002,ok
control,control,c0_m0,1:4,r0003,/home/thekaka/project/cytosim/control/2/r0003,ok
control,control,c0_m0,1:4,r0004,/home/thekaka/project/cytosim/control/2/r0004,ok
control,control,c0_m0,1:4,r0005,/home/thekaka/project/cytosim/control/2/r0005,ok
control,control,c0_m0,1:4,r0006,/home/thekaka/project/cytosim/control/2/r0006,ok
control,control,c0_m0,1:4,r0007,/home/thekaka/project/cytosim/control/2/r0007,ok
control,control,c0_m0,1:4,r0008,/home/thekaka/project/cytosim/control/2/r0008,ok
control,control,c0_m0,1:4,r0009,/home/thekaka/project/cytosim/control/2/r0009,ok
control,control,c0_m0,1:4,r0010,/home/thekaka/project/cytosim/control/2/r0010,ok
control,control,c0_m0,1:8,r0011,/home/thekaka/project/cytosim/control/2/r0011,ok
control,control,c0_m0,1:8,r0012,/home/thekaka/project/cytosim/control/2/r0012,ok
control,control,c0_m0,1:8,r0013,/home/thekaka/project/cytosim/control/2/r0013,ok
control,control,c0_m0,1:8,r0014,/home/thekaka/project/cytosim/control/2/r0014,ok
control,control,c0_m0,1:8,r0015,/home/thekaka/project/cytosim/control/2/r0015,ok
control,control,c0_m0,1:8,r0016,/home/thekaka/project/cytosim/control/2/r0016,ok
control,control,c0_m0,1:8,r0017,/home/thekaka/project/cytosim/control/2/r0017,ok
control,control,c0_m0,1:8,r0018,/home/thekaka/project/cytosim/control/2/r0018,ok
control,control,c0_m0,1:8,r0019,/home/thekaka/project/cytosim/control/2/r0019,ok
control,control,c0_m0,1:8,r0020,/home/thekaka/project/cytosim/control/2/r0020,ok
control,control,c0_m0,1:16,r0021,/home/thekaka/project/cytosim/control/2/r0021,ok
control,control,c0_m0,1:16,r0022,/home/thekaka/project/cytosim/control/2/r0022,ok
control,control,c0_m0,1:16,r0023,/home/thekaka/project/cytosim/control/2/r0023,ok
control,control,c0_m0,1:16,r0024,/home/thekaka/project/cytosim/control/2/r0024,ok
control,control,c0_m0,1:16,r0025,/home/thekaka/project/cytosim/control/2/r0025,ok
control,control,c0_m0,1:16,r0026,/home/thekaka/project/cytosim/control/2/r0026,ok
control,control,c0_m0,1:16,r0027,/home/thekaka/project/cytosim/control/2/r0027,ok
control,control,c0_m0,1:16,r0028,/home/thekaka/project/cytosim/control/2/r0028,ok
control,control,c0_m0,1:16,r0029,/home/thekaka/project/cytosim/control/2/r0029,ok
control,control,c0_m0,1:16,r0030,/home/thekaka/project/cytosim/control/2/r0030,ok
rotatable,mpc12,c10_m12,1:4,r0001,/home/thekaka/project/cytosim/clu/job11/save/r0001,ok
rotatable,mpc12,c10_m12,1:4,r0004,/home/thekaka/project/cytosim/clu/job11/save/r0004,ok
rotatable,mpc12,c10_m12,1:4,r0007,/home/thekaka/project/cytosim/clu/job11/save/r0007,ok
rotatable,mpc12,c10_m12,1:4,r0010,/home/thekaka/project/cytosim/clu/job11/save/r0010,ok
rotatable,mpc12,c10_m12,1:4,r0013,/home/thekaka/project/cytosim/clu/job11/save/r0013,ok
rotatable,mpc12,c10_m12,1:4,r0016,/home/thekaka/project/cytosim/clu/job11/save/r0016,ok
rotatable,mpc12,c10_m12,1:4,r0019,/home/thekaka/project/cytosim/clu/job11/save/r0019,ok
rotatable,mpc12,c10_m12,1:4,r0022,/home/thekaka/project/cytosim/clu/job11/save/r0022,ok
rotatable,mpc12,c10_m12,1:4,r0025,/home/thekaka/project/cytosim/clu/job11/save/r0025,ok
rotatable,mpc12,c10_m12,1:4,r0028,/home/thekaka/project/cytosim/clu/job11/save/r0028,ok
rotatable,mpc12,c10_m12,1:8,r0002,/home/thekaka/project/cytosim/clu/job11/save/r0002,ok
rotatable,mpc12,c10_m12,1:8,r0005,/home/thekaka/project/cytosim/clu/job11/save/r0005,ok
rotatable,mpc12,c10_m12,1:8,r0008,/home/thekaka/project/cytosim/clu/job11/save/r0008,ok
rotatable,mpc12,c10_m12,1:8,r0011,/home/thekaka/project/cytosim/clu/job11/save/r0011,ok
rotatable,mpc12,c10_m12,1:8,r0014,/home/thekaka/project/cytosim/clu/job11/save/r0014,ok
rotatable,mpc12,c10_m12,1:8,r0017,/home/thekaka/project/cytosim/clu/job11/save/r0017,ok
rotatable,mpc12,c10_m12,1:8,r0020,/home/thekaka/project/cytosim/clu/job11/save/r0020,ok
rotatable,mpc12,c10_m12,1:8,r0023,/home/thekaka/project/cytosim/clu/job11/save/r0023,ok
rotatable,mpc12,c10_m12,1:8,r0026,/home/thekaka/project/cytosim/clu/job11/save/r0026,ok
rotatable,mpc12,c10_m12,1:8,r0029,/home/thekaka/project/cytosim/clu/job11/save/r0029,ok
rotatable,mpc12,c10_m12,1:16,r0003,/home/thekaka/project/cytosim/clu/job11/save/r0003,ok
rotatable,mpc12,c10_m12,1:16,r0006,/home/thekaka/project/cytosim/clu/job11/save/r0006,ok
rotatable,mpc12,c10_m12,1:16,r0009,/home/thekaka/project/cytosim/clu/job11/save/r0009,ok
rotatable,mpc12,c10_m12,1:16,r0012,/home/thekaka/project/cytosim/clu/job11/save/r0012,ok
rotatable,mpc12,c10_m12,1:16,r0015,/home/thekaka/project/cytosim/clu/job11/save/r0015,ok
rotatable,mpc12,c10_m12,1:16,r0018,/home/thekaka/project/cytosim/clu/job11/save/r0018,ok
rotatable,mpc12,c10_m12,1:16,r0021,/home/thekaka/project/cytosim/clu/job11/save/r0021,ok
rotatable,mpc12,c10_m12,1:16,r0024,/home/thekaka/project/cytosim/clu/job11/save/r0024,ok
rotatable,mpc12,c10_m12,1:16,r0027,/home/thekaka/project/cytosim/clu/job11/save/r0027,ok
rotatable,mpc12,c10_m12,1:16,r0030,/home/thekaka/project/cytosim/clu/job11/save/r0030,ok
rotatable,mpc12,c20_m12,1:4,r0001,/home/thekaka/project/cytosim/clu/job12/save/r0001,ok
rotatable,mpc12,c20_m12,1:4,r0004,/home/thekaka/project/cytosim/clu/job12/save/r0004,ok
rotatable,mpc12,c20_m12,1:4,r0007,/home/thekaka/project/cytosim/clu/job12/save/r0007,ok
rotatable,mpc12,c20_m12,1:4,r0010,/home/thekaka/project/cytosim/clu/job12/save/r0010,ok
rotatable,mpc12,c20_m12,1:4,r0013,/home/thekaka/project/cytosim/clu/job12/save/r0013,ok
rotatable,mpc12,c20_m12,1:4,r0016,/home/thekaka/project/cytosim/clu/job12/save/r0016,ok
rotatable,mpc12,c20_m12,1:4,r0019,/home/thekaka/project/cytosim/clu/job12/save/r0019,ok
rotatable,mpc12,c20_m12,1:4,r0022,/home/thekaka/project/cytosim/clu/job12/save/r0022,ok
rotatable,mpc12,c20_m12,1:4,r0025,/home/thekaka/project/cytosim/clu/job12/save/r0025,ok
rotatable,mpc12,c20_m12,1:4,r0028,/home/thekaka/project/cytosim/clu/job12/save/r0028,ok
rotatable,mpc12,c20_m12,1:8,r0002,/home/thekaka/project/cytosim/clu/job12/save/r0002,ok
rotatable,mpc12,c20_m12,1:8,r0005,/home/thekaka/project/cytosim/clu/job12/save/r0005,ok
rotatable,mpc12,c20_m12,1:8,r0008,/home/thekaka/project/cytosim/clu/job12/save/r0008,ok
rotatable,mpc12,c20_m12,1:8,r0011,/home/thekaka/project/cytosim/clu/job12/save/r0011,ok
rotatable,mpc12,c20_m12,1:8,r0014,/home/thekaka/project/cytosim/clu/job12/save/r0014,ok
rotatable,mpc12,c20_m12,1:8,r0017,/home/thekaka/project/cytosim/clu/job12/save/r0017,ok
rotatable,mpc12,c20_m12,1:8,r0020,/home/thekaka/project/cytosim/clu/job12/save/r0020,ok
rotatable,mpc12,c20_m12,1:8,r0023,/home/thekaka/project/cytosim/clu/job12/save/r0023,ok
rotatable,mpc12,c20_m12,1:8,r0026,/home/thekaka/project/cytosim/clu/job12/save/r0026,ok
rotatable,mpc12,c20_m12,1:8,r0029,/home/thekaka/project/cytosim/clu/job12/save/r0029,ok
rotatable,mpc12,c20_m12,1:16,r0003,/home/thekaka/project/cytosim/clu/job12/save/r0003,ok
rotatable,mpc12,c20_m12,1:16,r0006,/home/thekaka/project/cytosim/clu/job12/save/r0006,ok
rotatable,mpc12,c20_m12,1:16,r0009,/home/thekaka/project/cytosim/clu/job12/save/r0009,ok
rotatable,mpc12,c20_m12,1:16,r0012,/home/thekaka/project/cytosim/clu/job12/save/r0012,ok
rotatable,mpc12,c20_m12,1:16,r0015,/home/thekaka/project/cytosim/clu/job12/save/r0015,ok
rotatable,mpc12,c20_m12,1:16,r0018,/home/thekaka/project/cytosim/clu/job12/save/r0018,ok
rotatable,mpc12,c20_m12,1:16,r0021,/home/thekaka/project/cytosim/clu/job12/save/r0021,ok
rotatable,mpc12,c20_m12,1:16,r0024,/home/thekaka/project/cytosim/clu/job12/save/r0024,ok
rotatable,mpc12,c20_m12,1:16,r0027,/home/thekaka/project/cytosim/clu/job12/save/r0027,ok
rotatable,mpc12,c20_m12,1:16,r0030,/home/thekaka/project/cytosim/clu/job12/save/r0030,ok
rotatable,mpc12,c40_m12,1:4,r0001,/home/thekaka/project/cytosim/clu/40/r0001,ok
rotatable,mpc12,c40_m12,1:4,r0004,/home/thekaka/project/cytosim/clu/40/r0004,ok
rotatable,mpc12,c40_m12,1:4,r0007,/home/thekaka/project/cytosim/clu/40/r0007,ok
rotatable,mpc12,c40_m12,1:4,r0010,/home/thekaka/project/cytosim/clu/40/r0010,ok
rotatable,mpc12,c40_m12,1:4,r0013,/home/thekaka/project/cytosim/clu/40/r0013,ok
rotatable,mpc12,c40_m12,1:4,r0016,/home/thekaka/project/cytosim/clu/40/r0016,ok
rotatable,mpc12,c40_m12,1:4,r0019,/home/thekaka/project/cytosim/clu/40/r0019,ok
rotatable,mpc12,c40_m12,1:4,r0022,/home/thekaka/project/cytosim/clu/40/r0022,ok
rotatable,mpc12,c40_m12,1:4,r0025,/home/thekaka/project/cytosim/clu/40/r0025,ok
rotatable,mpc12,c40_m12,1:4,r0028,/home/thekaka/project/cytosim/clu/40/r0028,ok
rotatable,mpc12,c40_m12,1:8,r0002,/home/thekaka/project/cytosim/clu/40/r0002,ok
rotatable,mpc12,c40_m12,1:8,r0005,/home/thekaka/project/cytosim/clu/40/r0005,ok
rotatable,mpc12,c40_m12,1:8,r0008,/home/thekaka/project/cytosim/clu/40/r0008,ok
rotatable,mpc12,c40_m12,1:8,r0011,/home/thekaka/project/cytosim/clu/40/r0011,ok
rotatable,mpc12,c40_m12,1:8,r0014,/home/thekaka/project/cytosim/clu/40/r0014,ok
rotatable,mpc12,c40_m12,1:8,r0017,/home/thekaka/project/cytosim/clu/40/r0017,ok
rotatable,mpc12,c40_m12,1:8,r0020,/home/thekaka/project/cytosim/clu/40/r0020,ok
rotatable,mpc12,c40_m12,1:8,r0023,/home/thekaka/project/cytosim/clu/40/r0023,ok
rotatable,mpc12,c40_m12,1:8,r0026,/home/thekaka/project/cytosim/clu/40/r0026,ok
rotatable,mpc12,c40_m12,1:8,r0029,/home/thekaka/project/cytosim/clu/40/r0029,ok
rotatable,mpc12,c40_m12,1:16,r0003,/home/thekaka/project/cytosim/clu/40/r0003,ok
rotatable,mpc12,c40_m12,1:16,r0006,/home/thekaka/project/cytosim/clu/40/r0006,ok
rotatable,mpc12,c40_m12,1:16,r0009,/home/thekaka/project/cytosim/clu/40/r0009,ok
rotatable,mpc12,c40_m12,1:16,r0012,/home/thekaka/project/cytosim/clu/40/r0012,ok
rotatable,mpc12,c40_m12,1:16,r0015,/home/thekaka/project/cytosim/clu/40/r0015,ok
rotatable,mpc12,c40_m12,1:16,r0018,/home/thekaka/project/cytosim/clu/40/r0018,ok
rotatable,mpc12,c40_m12,1:16,r0021,/home/thekaka/project/cytosim/clu/40/r0021,ok
rotatable,mpc12,c40_m12,1:16,r0024,/home/thekaka/project/cytosim/clu/40/r0024,ok
rotatable,mpc12,c40_m12,1:16,r0027,/home/thekaka/project/cytosim/clu/40/r0027,ok
rotatable,mpc12,c40_m12,1:16,r0030,/home/thekaka/project/cytosim/clu/40/r0030,ok
rotatable,mpc12,c60_m12,1:4,r0001,/home/thekaka/project/cytosim/clu/job13/save/r0001,ok
rotatable,mpc12,c60_m12,1:4,r0004,/home/thekaka/project/cytosim/clu/job13/save/r0004,ok
rotatable,mpc12,c60_m12,1:4,r0007,/home/thekaka/project/cytosim/clu/job13/save/r0007,ok
rotatable,mpc12,c60_m12,1:4,r0010,/home/thekaka/project/cytosim/clu/job13/save/r0010,ok
rotatable,mpc12,c60_m12,1:4,r0013,/home/thekaka/project/cytosim/clu/job13/save/r0013,ok
rotatable,mpc12,c60_m12,1:4,r0016,/home/thekaka/project/cytosim/clu/job13/save/r0016,ok
rotatable,mpc12,c60_m12,1:4,r0019,/home/thekaka/project/cytosim/clu/job13/save/r0019,ok
rotatable,mpc12,c60_m12,1:4,r0022,/home/thekaka/project/cytosim/clu/job13/save/r0022,ok
rotatable,mpc12,c60_m12,1:4,r0025,/home/thekaka/project/cytosim/clu/job13/save/r0025,ok
rotatable,mpc12,c60_m12,1:4,r0028,/home/thekaka/project/cytosim/clu/job13/save/r0028,ok
rotatable,mpc12,c60_m12,1:8,r0002,/home/thekaka/project/cytosim/clu/job13/save/r0002,ok
rotatable,mpc12,c60_m12,1:8,r0005,/home/thekaka/project/cytosim/clu/job13/save/r0005,ok
rotatable,mpc12,c60_m12,1:8,r0008,/home/thekaka/project/cytosim/clu/job13/save/r0008,ok
rotatable,mpc12,c60_m12,1:8,r0011,/home/thekaka/project/cytosim/clu/job13/save/r0011,ok
rotatable,mpc12,c60_m12,1:8,r0014,/home/thekaka/project/cytosim/clu/job13/save/r0014,ok
rotatable,mpc12,c60_m12,1:8,r0017,/home/thekaka/project/cytosim/clu/job13/save/r0017,ok
