model,group,case,xlink_regime,n_runs_used
fixed_global,focus40x12,offrate_0p5,1:16,9
fixed_global,focus40x12,offrate_0p5,1:4,10
fixed_global,focus40x12,offrate_0p5,1:8,9
fixed_global,focus40x12,offrate_1p0,1:16,9
fixed_global,focus40x12,offrate_1p0,1:4,10
fixed_global,focus40x12,offrate_1p0,1:8,9
fixed_global,focus40x12,parallel_antiparallel_50_50,1:4,10
fixed_global,focus40x12,parallel_only,1:16,9
fixed_global,focus40x12,parallel_only,1:4,10
fixed_global,focus40x12,parallel_only,1:8,10
rotatable,focus40x12,offrate_0p5,1:16,10
rotatable,focus40x12,offrate_0p5,1:4,10
rotatable,focus40x12,offrate_0p5,1:8,10
rotatable,focus40x12,parallel_antiparallel_50_50,1:16,10
rotatable,focus40x12,parallel_antiparallel_50_50,1:4,10
rotatable,focus40x12,parallel_antiparallel_50_50,1:8,10
rotatable,focus40x12,parallel_only,1:16,10
rotatable,focus40x12,parallel_only,1:4,10
rotatable,focus40x12,parallel_only,1:8,10
