model,group,case,xlink_regime,n_runs_used
fixed_global,mpc12,c10_m12,1:16,10
fixed_global,mpc12,c10_m12,1:4,10
fixed_global,mpc12,c10_m12,1:8,10
fixed_global,mpc12,c20_m12,1:16,10
fixed_global,mpc12,c20_m12,1:4,10
fixed_global,mpc12,c20_m12,1:8,10
fixed_global,mpc12,c40_m12,1:16,9
fixed_global,mpc12,c40_m12,1:4,10
fixed_global,mpc12,c40_m12,1:8,10
fixed_global,mpc12,c60_m12,1:16,10
fixed_global,mpc12,c60_m12,1:4,10
fixed_global,mpc12,c60_m12,1:8,10
fixed_global,mpc12,c80_m12,1:16,10
fixed_global,mpc12,c80_m12,1:4,10
fixed_global,mpc12,c80_m12,1:8,10
rotatable,mpc12,c10_m12,1:16,10
rotatable,mpc12,c10_m12,1:4,10
rotatable,mpc12,c10_m12,1:8,10
rotatable,mpc12,c20_m12,1:16,10
rotatable,mpc12,c20_m12,1:4,10
rotatable,mpc12,c20_m12,1:8,10
rotatable,mpc12,c40_m12,1:16,10
rotatable,mpc12,c40_m12,1:4,10
rotatable,mpc12,c40_m12,1:8,10
rotatable,mpc12,c60_m12,1:16,10
rotatable,mpc12,c60_m12,1:4,10
rotatable,mpc12,c60_m12,1:8,10
rotatable,mpc12,c80_m12,1:16,10
rotatable,mpc12,c80_m12,1:4,10
rotatable,mpc12,c80_m12,1:8,10
