model,group,case,xlink_regime,medoid_run_dir,n_runs_candidates
control,control,c0_m0,1:16,r0022,10
control,control,c0_m0,1:4,r0001,10
control,control,c0_m0,1:8,r0013,10
fixed_global,mpc12,c10_m12,1:16,r0006,10
fixed_global,mpc12,c10_m12,1:4,r0001,10
fixed_global,mpc12,c10_m12,1:8,r0023,10
fixed_global,mpc12,c20_m12,1:16,r0003,10
fixed_global,mpc12,c20_m12,1:4,r0022,10
fixed_global,mpc12,c20_m12,1:8,r0029,10
fixed_global,mpc12,c40_m12,1:16,r0029,9
fixed_global,mpc12,c40_m12,1:4,r0004,10
fixed_global,mpc12,c40_m12,1:8,r0005,10
fixed_global,mpc12,c60_m12,1:16,r0027,10
fixed_global,mpc12,c60_m12,1:4,r0025,10
fixed_global,mpc12,c60_m12,1:8,r0023,10
fixed_global,mpc12,c80_m12,1:16,r0006,10
fixed_global,mpc12,c80_m12,1:4,r0001,10
fixed_global,mpc12,c80_m12,1:8,r0023,10
fixed_global,total480,c10_m48,1:16,r0018,10
fixed_global,total480,c10_m48,1:4,r0028,10
fixed_global,total480,c10_m48,1:8,r0020,10
fixed_global,total480,c20_m24,1:16,r0024,10
fixed_global,total480,c20_m24,1:4,r0001,10
fixed_global,total480,c20_m24,1:8,r0020,10
fixed_global,total480,c40_m12,1:16,r0029,9
fixed_global,total480,c40_m12,1:4,r0004,10
fixed_global,total480,c40_m12,1:8,r0005,10
fixed_global,total480,c60_m8,1:16,r0018,10
fixed_global,total480,c60_m8,1:4,r0028,10
fixed_global,total480,c60_m8,1:8,r0023,10
fixed_global,total480,c80_m6,1:16,r0009,10
fixed_global,total480,c80_m6,1:4,r0010,10
fixed_global,total480,c80_m6,1:8,r0023,10
rotatable,mpc12,c10_m12,1:16,r0003,10
rotatable,mpc12,c10_m12,1:4,r0019,10
rotatable,mpc12,c10_m12,1:8,r0014,10
rotatable,mpc12,c20_m12,1:16,r0024,10
rotatable,mpc12,c20_m12,1:4,r0004,10
rotatable,mpc12,c20_m12,1:8,r0017,10
rotatable,mpc12,c40_m12,1:16,r0018,10
rotatable,mpc12,c40_m12,1:4,r0001,10
rotatable,mpc12,c40_m12,1:8,r0014,10
rotatable,mpc12,c60_m12,1:16,r0024,10
rotatable,mpc12,c60_m12,1:4,r0016,10
rotatable,mpc12,c60_m12,1:8,r0011,10
rotatable,mpc12,c80_m12,1:16,r0006,10
rotatable,mpc12,c80_m12,1:4,r0013,10
rotatable,mpc12,c80_m12,1:8,r0020,10
rotatable,total480,c10_m48,1:16,r0018,10
rotatable,total480,c10_m48,1:4,r0007,10
rotatable,total480,c10_m48,1:8,r0029,10
rotatable,total480,c20_m24,1:16,r0030,10
rotatable,total480,c20_m24,1:4,r0022,10
rotatable,total480,c20_m24,1:8,r0014,10
rotatable,total480,c40_m12,1:16,r0018,10
rotatable,total480,c40_m12,1:4,r0001,10
rotatable,total480,c40_m12,1:8,r0014,10
rotatable,total480,c60_m8,1:16,r0024,10
rotatable,total480,c60_m8,1:4,r0016,10
rotatable,total480,c60_m8,1:8,r0008,10
rotatable,total480,c80_m6,1:16,r0003,10
rotatable,total480,c80_m6,1:4,r0019,10
rotatable,total480,c80_m6,1:8,r0023,10
rotatable,total480,c0_m0,1:16,r0022,10
rotatable,mpc12,c0_m0,1:16,r0022,10
fixed_global,total480,c0_m0,1:16,r0022,10
fixed_global,mpc12,c0_m0,1:16,r0022,10
rotatable,total480,c0_m0,1:4,r0001,10
rotatable,mpc12,c0_m0,1:4,r0001,10
fixed_global,total480,c0_m0,1:4,r0001,10
fixed_global,mpc12,c0_m0,1:4,r0001,10
rotatable,total480,c0_m0,1:8,r0013,10
rotatable,mpc12,c0_m0,1:8,r0013,10
fixed_global,total480,c0_m0,1:8,r0013,10
fixed_global,mpc12,c0_m0,1:8,r0013,10
