model,group,case,xlink_regime,run_dir,run_path,n_frames_used,threshold_vz_abs,mean_vz_abs,peak_vz_abs,time_to_peak_min,auc_vz_abs,active_transport_fraction,onset_time_min,net_z_displacement,abs_net_z_displacement,early_mean_vz_abs,mid_mean_vz_abs,late_mean_vz_abs
control,control,c0_m0,1:4,r0001,/home/thekaka/project/cytosim/control/2/r0001,800,0.009560635356359143,0.003921693590069286,0.02054521830563355,12.966666666666667,3.136585246606481,0.05375,9.183333333333334,-0.2447408927655207,0.2447408927655207,0.003886717684497416,0.003613480507507516,0.004307989246008782
control,control,c0_m0,1:4,r0002,/home/thekaka/project/cytosim/control/2/r0002,800,0.009560635356359143,0.003364823602198126,0.031099624060150072,8.066666666666666,2.6900216114172935,0.04125,0.06666666666666667,-0.14409448818897647,0.14409448818897647,0.0031759039249496922,0.0036342043087202805,0.0032281860194614555
control,control,c0_m0,1:4,r0003,/home/thekaka/project/cytosim/control/2/r0003,800,0.009560635356359143,0.0031538307102755504,0.01248725790010201,1.3166666666666667,2.5184037277018874,0.025,nan,0.05086092670479077,0.05086092670479077,0.003209308069779322,0.0031356854579547844,0.0031238862151599473
control,control,c0_m0,1:4,r0004,/home/thekaka/project/cytosim/control/2/r0004,800,0.009560635356359143,0.004461663367869766,0.02247151700747474,3.3833333333333333,3.5615860579797474,0.09875,3.35,0.14526425954997302,0.14526425954997302,0.004251365864163104,0.00463130701930816,0.004459241942407597
control,control,c0_m0,1:4,r0005,/home/thekaka/project/cytosim/control/2/r0005,800,0.009560635356359143,0.003548113977839811,0.023702203929898774,12.1,2.837163513657936,0.05125,nan,-0.11178969729155691,0.11178969729155691,0.004171885859864526,0.0031163266033077583,0.0034732278956777773
control,control,c0_m0,1:4,r0006,/home/thekaka/project/cytosim/control/2/r0006,800,0.009560635356359143,0.0028544146586593723,0.017108402090913286,0.4666666666666667,2.2756915650660927,0.02125,12.5,0.04855842185128925,0.04855842185128925,0.0029302734364552614,0.0027386037986529862,0.002918066038386187
control,control,c0_m0,1:4,r0007,/home/thekaka/project/cytosim/control/2/r0007,800,0.009560635356359143,0.0037094890482329934,0.021700097111048366,12.9,2.961477508354233,0.0525,1.3666666666666667,0.22969120481200278,0.22969120481200278,0.0037299627438782206,0.0036874191893725198,0.003716108758573733
control,control,c0_m0,1:4,r0008,/home/thekaka/project/cytosim/control/2/r0008,800,0.009560635356359143,0.003682205060078294,0.018612478150566165,8.233333333333333,2.941608552084084,0.065,6.633333333333334,-0.23324396782841805,0.23324396782841805,0.0036326404474678557,0.0037660662193514205,0.0036311996755264042
control,control,c0_m0,1:4,r0009,/home/thekaka/project/cytosim/control/2/r0009,800,0.009560635356359143,0.0032781567404577953,0.01636068723284967,12.866666666666667,2.620060434122564,0.0225,nan,-0.11929368599712764,0.11929368599712764,0.003152242574906814,0.0033199649087213485,0.003345402085621085
control,control,c0_m0,1:4,r0010,/home/thekaka/project/cytosim/control/2/r0010,800,0.009560635356359143,0.004081656892555655,0.019885920436817583,8.6,3.2596052852353723,0.06875,nan,-0.18148725949037914,0.18148725949037914,0.004208554286526161,0.004120529558910853,0.0039207746049483355
