model,group,case,xlink_regime,n_runs_used
fixed_global_motor_force,c40_m12,uf0p5,1:16,1
fixed_global_motor_force,c40_m12,uf0p5,1:4,1
fixed_global_motor_force,c40_m12,uf0p5,1:8,1
fixed_global_motor_force,c40_m12,uf1p0,1:16,1
fixed_global_motor_force,c40_m12,uf1p0,1:4,1
fixed_global_motor_force,c40_m12,uf1p0,1:8,1
fixed_global_motor_force,c40_m12,uf2p5,1:16,1
fixed_global_motor_force,c40_m12,uf2p5,1:4,1
fixed_global_motor_force,c40_m12,uf2p5,1:8,1
fixed_global_motor_force,c40_m12,uf5p0,1:16,1
fixed_global_motor_force,c40_m12,uf5p0,1:4,1
fixed_global_motor_force,c40_m12,uf5p0,1:8,1
fixed_global_motor_force,c40_m50,uf0p5,1:16,1
fixed_global_motor_force,c40_m50,uf0p5,1:4,1
fixed_global_motor_force,c40_m50,uf0p5,1:8,1
fixed_global_motor_force,c40_m50,uf1p0,1:16,1
fixed_global_motor_force,c40_m50,uf1p0,1:4,1
fixed_global_motor_force,c40_m50,uf1p0,1:8,1
fixed_global_motor_force,c40_m50,uf2p5,1:16,1
fixed_global_motor_force,c40_m50,uf2p5,1:4,1
fixed_global_motor_force,c40_m50,uf2p5,1:8,1
fixed_global_motor_force,c40_m50,uf5p0,1:16,1
fixed_global_motor_force,c40_m50,uf5p0,1:4,1
fixed_global_motor_force,c40_m50,uf5p0,1:8,1
fixed_global_motor_force,c40_m12,c0_m0,1:16,1
fixed_global_motor_force,c40_m50,c0_m0,1:16,1
fixed_global_motor_force,c40_m12,c0_m0,1:4,1
fixed_global_motor_force,c40_m50,c0_m0,1:4,1
fixed_global_motor_force,c40_m12,c0_m0,1:8,1
fixed_global_motor_force,c40_m50,c0_m0,1:8,1
