model,group,case,xlink_regime,medoid_run_dir,n_runs_candidates
fixed_global_motor_force,c40_m12,uf0p5,1:16,r0023,10
fixed_global_motor_force,c40_m12,uf0p5,1:4,r0004,10
fixed_global_motor_force,c40_m12,uf0p5,1:8,r0013,10
fixed_global_motor_force,c40_m12,uf1p0,1:16,r0026,10
fixed_global_motor_force,c40_m12,uf1p0,1:4,r0010,10
fixed_global_motor_force,c40_m12,uf1p0,1:8,r0020,10
fixed_global_motor_force,c40_m12,uf2p5,1:16,r0026,10
fixed_global_motor_force,c40_m12,uf2p5,1:4,r0002,10
fixed_global_motor_force,c40_m12,uf2p5,1:8,r0013,10
fixed_global_motor_force,c40_m12,uf5p0,1:16,r0028,10
fixed_global_motor_force,c40_m12,uf5p0,1:4,r0007,10
fixed_global_motor_force,c40_m12,uf5p0,1:8,r0011,10
fixed_global_motor_force,c40_m50,uf0p5,1:16,r0023,10
fixed_global_motor_force,c40_m50,uf0p5,1:4,r0008,10
fixed_global_motor_force,c40_m50,uf0p5,1:8,r0013,10
fixed_global_motor_force,c40_m50,uf1p0,1:16,r0027,9
fixed_global_motor_force,c40_m50,uf1p0,1:4,r0007,10
fixed_global_motor_force,c40_m50,uf1p0,1:8,r0013,10
fixed_global_motor_force,c40_m50,uf2p5,1:16,r0025,10
fixed_global_motor_force,c40_m50,uf2p5,1:4,r0010,10
fixed_global_motor_force,c40_m50,uf2p5,1:8,r0014,10
fixed_global_motor_force,c40_m50,uf5p0,1:16,r0025,8
fixed_global_motor_force,c40_m50,uf5p0,1:4,r0007,10
fixed_global_motor_force,c40_m50,uf5p0,1:8,r0019,10
fixed_global_motor_force,c40_m12,c0_m0,1:16,r0022,10
fixed_global_motor_force,c40_m50,c0_m0,1:16,r0022,10
fixed_global_motor_force,c40_m12,c0_m0,1:4,r0001,10
fixed_global_motor_force,c40_m50,c0_m0,1:4,r0001,10
fixed_global_motor_force,c40_m12,c0_m0,1:8,r0013,10
fixed_global_motor_force,c40_m50,c0_m0,1:8,r0013,10
