source,model,group,case,total_motors,label,marker,edge,face,xlink_regime,n_runs_used,mean_vz_abs_mean,mean_vz_abs_sem,peak_vz_abs_mean,peak_vz_abs_sem,time_to_peak_min_mean,time_to_peak_min_sem,auc_vz_abs_mean,auc_vz_abs_sem,active_transport_fraction_mean,active_transport_fraction_sem,onset_time_min_mean,onset_time_min_sem,net_z_displacement_mean,net_z_displacement_sem,abs_net_z_displacement_mean,abs_net_z_displacement_sem,early_mean_vz_abs_mean,early_mean_vz_abs_sem,mid_mean_vz_abs_mean,mid_mean_vz_abs_sem,late_mean_vz_abs_mean,late_mean_vz_abs_sem,std_vz_abs_mean,std_vz_abs_sem
base,control,control,c0_m0,0,0,D,#7f7f7f,#d9d9d9,1:4,10,0.0036056047648236654,0.00014955203459634316,0.020397340622545425,0.0015797701056094351,8.09,1.5356568546744556,2.8802203502225696,0.11955311732418536,0.05,0.0076444424257103285,5.516666666666667,1.9585519972484589,-0.05602751786439231,0.05186984793491408,0.15090248044800347,0.022563131864478787,0.0036348854892488376,0.00015603347442936618,0.003576358757180763,0.00017112305142196228,0.0036124082481771304,0.00015868249281224663,,
base,fixed_global,mpc12,c10_m12,120,120,o,#d95f02,#d95f02,1:4,10,0.0027991506214691615,6.25831438043982e-05,0.01389429987894531,0.0008925051492067816,4.326666666666666,1.013511192968092,2.2281359965348835,0.05010214919434104,0.015000000000000003,0.0017480147469502527,nan,nan,0.141336235354981,0.063074383450972,0.18903337077510715,0.0471966533502838,0.0029154653846572864,0.00012551919178321137,0.0027729513749822003,7.857611127051053e-05,0.0027234897829474607,8.978002184343414e-05,,
base,fixed_global,mpc12,c20_m12,240,240,o,#d95f02,#d95f02,1:4,10,0.002830974239876532,7.479675962910364e-05,0.014226998361484977,0.0008541523309681849,6.466666666666667,1.0765399535572,2.259063656134736,0.0604774677791402,0.02025,0.003641008712492247,8.666666666666666,0.0,0.424143586816977,0.07319342063411313,0.424143586816977,0.07319342063411313,0.002934170159833599,9.658857780526969e-05,0.002873016353475049,8.697684215708608e-05,0.0026890915565584515,9.943054352208909e-05,,
base,fixed_global,mpc12,c40_m12,480,480,o,#d95f02,#d95f02,1:4,10,0.0029541020815809045,6.412852788766047e-05,0.01652496074866515,0.0012067073009760813,5.576666666666666,1.543237338027266,2.3556731806034628,0.05224002212395805,0.02025,0.0017260262647673312,1.2,0.0,0.687371479280738,0.07772517200822965,0.687371479280738,0.07772517200822965,0.0031069552273802264,8.965303600133657e-05,0.002886614449723471,8.480799806143328e-05,0.002892526665004536,7.329283312577444e-05,,
base,fixed_global,mpc12,c80_m12,960,960,o,#d95f02,#d95f02,1:4,10,0.0033880498462878867,7.055441637002631e-05,0.01601079311073767,0.0008575282194311441,4.596666666666666,0.9516775312346037,2.6993635081697707,0.05609393724259987,0.03849999999999999,0.00291547594742265,1.9444444444444446,0.9345891022922624,1.4103524082208998,0.10877947437246407,1.4103524082208998,0.10877947437246407,0.0039867367302787796,0.00017920346373964926,0.003233897364957336,0.00012566506914925166,0.003020714983728087,7.547912092842278e-05,,
motor,fixed_global_motor_force,c40_m50,uf2p5,2000,2000,s,#a63d00,#f28e2b,1:4,10,0.003735326980468983,0.00016944342621721503,0.026375480914106686,0.0025700592233276714,4.783333333333333,1.6903885885342793,2.974226640221667,0.1348428867941179,0.073,0.0076448966274531415,0.4699999999999999,0.28133061258996844,1.571165280718595,0.1644061459337022,1.571165280718595,0.1644061459337022,0.004712413526297961,0.000504838525576192,0.0034480933908556553,0.00032028463175591613,0.0031766379689296743,0.00010644355533033362,0.00395287161046596,0.0003830983793116475
motor,fixed_global_motor_force,c40_m100,uf2p5,4000,4000,^,#7f2704,#fdae6b,1:4,10,0.00465237426836534,0.00022054966135609912,0.03955007453498402,0.0035547395715131097,4.7,1.3113935665618284,3.703494645320139,0.17531737691718413,0.12250000000000001,0.009753916592266354,0.3866666666666666,0.2050112914686155,2.4366572221649734,0.20128685832184695,2.4366572221649734,0.20128685832184695,0.006310867309356026,0.0005451732592702634,0.004117771703079915,0.00031429265385660274,0.003757944595960165,0.00037406528426843234,0.00577635919347791,0.0004787671136937023
base,control,control,c0_m0,0,0,D,#7f7f7f,#d9d9d9,1:8,10,0.0037256950967266924,0.00016628009262621284,0.023655365850440525,0.0029510932953628233,6.068333333333333,1.7422694331755286,2.974060674201845,0.13288872927333867,0.05,0.008424501304066741,8.675,2.3778929748834368,0.02313451924878541,0.03643095866457161,0.08670049397121203,0.02348324004949008,0.003711106051558307,0.00011031060965539535,0.0036039807617047857,0.00017310661876460302,0.003878955948457788,0.0002719271535387612,,
base,fixed_global,mpc12,c10_m12,120,120,o,#d95f02,#d95f02,1:8,10,0.002450032227797377,6.67339039726176e-05,0.011983586501476112,0.000628082323643204,9.043333333333335,1.3813309917040069,1.951763107767968,0.053433158908281084,0.006,0.0009279607271383369,nan,nan,0.19328746378301892,0.040527054931093945,0.20180653013576344,0.035615458071408326,0.0023148144819442823,8.917644613759527e-05,0.00246216464489448,9.131145467763531e-05,0.0025589715346061755,8.69035458650747e-05,,
base,fixed_global,mpc12,c20_m12,240,240,o,#d95f02,#d95f02,1:8,10,0.0026395761875081226,4.752721843960663e-05,0.013207688386168998,0.0007292972187818892,5.82,1.398236985159049,2.1055930338526325,0.037902600333312046,0.0155,0.0031358146203711293,4.1000000000000005,2.0916057981404657,0.32841199234063706,0.09570928752919551,0.37240899269476174,0.0757249323005717,0.0027815357296350155,0.00010584640229373096,0.0025946569636559873,8.229074128927951e-05,0.0025620547986891905,0.00010143813626668026,,
