variant_key,variant,scenario,condition,delta_auc_vz_abs,ratio_auc_vz_abs,delta_mass_retention,ratio_mass_retention,delta_chewer_band_mass_fraction_final,ratio_chewer_band_mass_fraction_final,delta_bottom_half_mass_fraction_final,ratio_bottom_half_mass_fraction_final,delta_final_off_len_um,ratio_final_off_len_um,delta_final_total_len_um,ratio_final_total_len_um
job10_chew_rate2x,2x chewing rate,large_long,nomotor_xlink,0.14831761488873285,1.0895042185131134,-0.038273333536130494,0.9786513180801076,-0.03656330782025328,0.33253024847612345,-0.026580047242245997,0.8619124221901651,78.67999999999998,1.719195612431444,-61.679999999999836,0.9707666641389248
job10_chew_rate2x,2x chewing rate,large_long,rotatable_xlink,-0.06037237545162899,0.9874900778928086,-0.08663562726521401,0.9505510816277197,-0.019605608026283222,0.8882272041044316,0.017860221752272643,1.0513067170149015,125.05999999999997,1.9972886762360444,-107.58000000000015,0.9486148261367978
job10_chew_rate2x,2x chewing rate,small_long,nomotor_xlink,0.3087430543161709,1.0942994485352067,-0.10051899540178266,0.9381380926370583,-0.05007890876984797,0.37047732352654017,-0.02316918464312251,0.8939626798382991,16.179999999999993,2.081550802139037,-12.139999999999986,0.9443578696489138
job10_chew_rate2x,2x chewing rate,small_long,rotatable_xlink,-2.182239018640365,0.7730144690980347,-0.1335063973077979,0.9142836845539467,-0.13924295400041597,0.6979354890207911,-0.1494065762246729,0.7629336218438031,19.700000000000003,2.1466821885913854,-14.819999999999965,0.9311402286032898
job11_chewer_count2x,2x chewer count,large_long,nomotor_xlink,0.23611433628765366,1.1424863065996775,-0.07823037804940558,0.9563634702508188,-0.03295320482071099,0.39843332715614754,-0.012679747588788981,0.9341266922583538,81.46000000000001,1.7446069469835466,-64.24000000000024,0.9695533479942366
job11_chewer_count2x,2x chewer count,large_long,rotatable_xlink,-0.2087897548307689,0.9567361139896635,-0.04380048794836666,0.9750000453439959,-0.05177951590924232,0.7048017457282467,-0.020887378230007803,0.9399972285397934,110.61999999999998,1.8821371610845292,-94.45999999999981,0.9548815437523883
job11_chewer_count2x,2x chewer count,small_long,nomotor_xlink,0.07940590976025197,1.0242529617950857,-0.1958412713148885,0.8794743766041705,-0.06143745488717684,0.22769341452624423,-0.0021151863621397538,0.9903195258297338,14.339999999999991,1.9585561497326196,-10.480000000000018,0.9519662663855532
job11_chewer_count2x,2x chewer count,small_long,rotatable_xlink,-0.4763356834602739,0.9504539571173348,-0.13295385350180444,0.9146384392333282,-0.1638229462336045,0.6446132696877491,-0.13560976837757555,0.7848252905311968,15.140000000000008,1.8812572759022124,-11.479999999999961,0.9466592324133447
job12_count2x_rate2x,2x count + 2x rate,large_long,nomotor_xlink,0.39815669914143736,1.240272905070309,-0.0621583223118205,0.9653283858732477,-0.0543747279873102,0.007379574154270158,-0.03929681038681082,0.7958468127422131,126.95999999999998,2.1605118829981715,-79.24000000000024,0.9624440737089557
job12_count2x_rate2x,2x count + 2x rate,large_long,rotatable_xlink,-0.6424948190722715,0.8668669224833147,-0.13009331554335501,0.9257467863493425,-0.1393830669193843,0.2053684298291989,-0.06672239794589385,0.8083278451159193,255.70000000000002,3.039074960127592,-210.72000000000003,0.8993504012227741
job12_count2x_rate2x,2x count + 2x rate,small_long,nomotor_xlink,0.4297610117274302,1.1312619857881172,-0.08440049910114533,0.9480578189633548,-0.07529528425487823,0.05349197827369503,-0.06697018339056274,0.6935007041958694,18.32,2.224598930481283,-7.759999999999991,0.9644330369419746
job12_count2x_rate2x,2x count + 2x rate,small_long,rotatable_xlink,-3.464689271644846,0.6396204416578375,-0.05501502970294769,0.9646782046749425,-0.36453206805366944,0.20920809484878902,-0.3428509134438734,0.45599165477522957,27.04,2.5739231664726425,-12.099999999999966,0.9437784592509991
