scenario,condition,run_dir,run_path,status,frame_mode,growth_end_min,motor_onset_min
large_long,nomotor_xlink,r0001,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0001,"error:expected 160 or 168 frames, parsed 4",,,
large_long,nomotor_xlink,r0002,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0002,"error:expected 160 or 168 frames, parsed 3",,,
large_long,nomotor_xlink,r0003,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0003,"error:expected 160 or 168 frames, parsed 4",,,
large_long,nomotor_xlink,r0004,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0004,"error:expected 160 or 168 frames, parsed 3",,,
large_long,nomotor_xlink,r0005,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0005,"error:expected 160 or 168 frames, parsed 3",,,
large_long,rotatable_xlink,r0006,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0006,"error:expected 160 or 168 frames, parsed 3",,,
large_long,rotatable_xlink,r0007,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0007,"error:expected 160 or 168 frames, parsed 6",,,
large_long,rotatable_xlink,r0008,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0008,"error:expected 160 or 168 frames, parsed 2",,,
large_long,rotatable_xlink,r0009,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0009,"error:expected 160 or 168 frames, parsed 2",,,
large_long,rotatable_xlink,r0010,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0010,"error:expected 160 or 168 frames, parsed 3",,,
small_long,nomotor_xlink,r0011,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0011,"error:expected 160 or 168 frames, parsed 16",,,
small_long,nomotor_xlink,r0012,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0012,"error:expected 160 or 168 frames, parsed 12",,,
small_long,nomotor_xlink,r0013,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0013,"error:expected 160 or 168 frames, parsed 8",,,
small_long,nomotor_xlink,r0014,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0014,"error:expected 160 or 168 frames, parsed 110",,,
small_long,nomotor_xlink,r0015,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0015,"error:expected 160 or 168 frames, parsed 10",,,
small_long,rotatable_xlink,r0016,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0016,"error:expected 160 or 168 frames, parsed 8",,,
small_long,rotatable_xlink,r0017,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0017,"error:expected 160 or 168 frames, parsed 3",,,
small_long,rotatable_xlink,r0018,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0018,"error:expected 160 or 168 frames, parsed 12",,,
small_long,rotatable_xlink,r0019,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0019,"error:expected 160 or 168 frames, parsed 30",,,
small_long,rotatable_xlink,r0020,/home/thekaka/project/cytosim/turnover_continuous_supply_scaled/job13/save/r0020,"error:expected 160 or 168 frames, parsed 19",,,
