scenario,condition,replicate,run_dir,frame,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
large_long,nomotor_xlink,1,r0001,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,1,r0001,20,1.0,actin,96,12.352,0.039,11.91,12.479,1185.8,12.2
large_long,nomotor_xlink,1,r0001,40,2.0,actin,120,12.245,8.565,6.454,13.934,1469.4,23.2
large_long,nomotor_xlink,1,r0001,80,4.0,actin,168,10.052,16.177,5.0,13.972,1688.8,48.3
large_long,nomotor_xlink,1,r0001,120,6.0,actin,216,8.806,16.179,5.0,13.972,1902.0,75.1
large_long,nomotor_xlink,1,r0001,160,8.0,actin,264,8.006,14.649,5.0,13.972,2113.7,103.4
large_long,nomotor_xlink,2,r0002,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,2,r0002,20,1.0,actin,96,12.35,0.04,11.952,12.483,1185.6,12.7
large_long,nomotor_xlink,2,r0002,40,2.0,actin,120,12.238,8.532,6.462,13.944,1468.6,25.1
large_long,nomotor_xlink,2,r0002,80,4.0,actin,168,10.043,16.125,5.0,13.982,1687.3,51.0
large_long,nomotor_xlink,2,r0002,120,6.0,actin,216,8.804,16.202,5.0,13.982,1901.6,76.7
large_long,nomotor_xlink,2,r0002,160,8.0,actin,264,8.013,14.79,5.0,13.982,2115.3,103.0
large_long,nomotor_xlink,3,r0003,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,3,r0003,20,1.0,actin,96,12.336,0.043,11.918,12.492,1184.2,15.0
large_long,nomotor_xlink,3,r0003,40,2.0,actin,120,12.229,8.474,6.474,13.967,1467.5,28.7
large_long,nomotor_xlink,3,r0003,80,4.0,actin,168,10.025,15.98,5.0,14.006,1684.2,56.7
large_long,nomotor_xlink,3,r0003,120,6.0,actin,216,8.775,15.915,5.0,14.006,1895.3,85.5
large_long,nomotor_xlink,3,r0003,160,8.0,actin,264,7.981,14.422,5.0,14.006,2107.1,113.8
large_long,nomotor_xlink,4,r0004,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,4,r0004,20,1.0,actin,96,12.351,0.041,11.913,12.482,1185.7,12.6
large_long,nomotor_xlink,4,r0004,40,2.0,actin,120,12.241,8.551,6.458,13.94,1468.9,24.3
large_long,nomotor_xlink,4,r0004,80,4.0,actin,168,10.051,16.185,5.0,13.978,1688.6,49.2
large_long,nomotor_xlink,4,r0004,120,6.0,actin,216,8.813,16.273,5.0,13.978,1903.6,74.3
large_long,nomotor_xlink,4,r0004,160,8.0,actin,264,8.019,14.836,5.0,13.978,2117.1,100.7
large_long,nomotor_xlink,5,r0005,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,5,r0005,20,1.0,actin,96,12.329,0.041,11.968,12.498,1183.5,16.2
large_long,nomotor_xlink,5,r0005,40,2.0,actin,120,12.224,8.428,6.483,13.981,1466.8,30.9
large_long,nomotor_xlink,5,r0005,80,4.0,actin,168,10.007,15.823,5.0,14.02,1681.1,61.4
large_long,nomotor_xlink,5,r0005,120,6.0,actin,216,8.743,15.618,5.0,14.02,1888.4,94.1
large_long,nomotor_xlink,5,r0005,160,8.0,actin,264,7.941,14.007,5.0,14.02,2096.4,126.1
large_long,rotatable_xlink,1,r0006,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,1,r0006,20,1.0,actin,96,12.339,0.04,11.986,12.489,1184.6,14.3
large_long,rotatable_xlink,1,r0006,40,2.0,actin,120,12.227,8.46,6.472,13.961,1467.2,28.4
large_long,rotatable_xlink,1,r0006,80,4.0,actin,168,9.986,15.645,5.0,14.0,1677.6,62.6
large_long,rotatable_xlink,1,r0006,120,6.0,actin,216,8.701,15.118,5.0,14.0,1879.4,100.8
large_long,rotatable_xlink,1,r0006,160,8.0,actin,264,7.879,13.302,4.657,14.0,2080.1,140.2
large_long,rotatable_xlink,2,r0007,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,2,r0007,20,1.0,actin,96,12.345,0.04,11.852,12.483,1185.1,13.3
large_long,rotatable_xlink,2,r0007,40,2.0,actin,120,12.236,8.511,6.466,13.95,1468.3,26.0
large_long,rotatable_xlink,2,r0007,80,4.0,actin,168,10.017,15.919,5.0,13.988,1682.9,56.0
large_long,rotatable_xlink,2,r0007,120,6.0,actin,216,8.741,15.549,4.865,13.988,1888.0,91.0
large_long,rotatable_xlink,2,r0007,160,8.0,actin,264,7.898,13.498,4.161,13.988,2084.9,134.0
