scenario,condition,replicate,run_dir,frame,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
large_long,nomotor_xlink,1,r0001,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,1,r0001,20,1.0,actin,96,12.281,0.157,11.419,12.53,1179.0,23.9
large_long,nomotor_xlink,1,r0001,40,2.0,actin,120,12.183,8.511,6.534,14.064,1461.9,45.0
large_long,nomotor_xlink,1,r0001,80,4.0,actin,168,9.9,15.928,5.0,14.106,1663.2,88.9
large_long,nomotor_xlink,1,r0001,120,6.0,actin,216,8.617,16.012,5.0,14.106,1861.3,130.8
large_long,nomotor_xlink,1,r0001,160,8.0,actin,264,7.809,14.726,5.0,14.106,2061.5,170.6
large_long,nomotor_xlink,2,r0002,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,2,r0002,20,1.0,actin,96,12.267,0.169,11.515,12.539,1177.6,26.1
large_long,nomotor_xlink,2,r0002,40,2.0,actin,120,12.167,8.448,6.557,14.097,1460.1,50.6
large_long,nomotor_xlink,2,r0002,80,4.0,actin,168,9.876,15.812,5.0,14.14,1659.2,96.6
large_long,nomotor_xlink,2,r0002,120,6.0,actin,216,8.584,15.825,5.0,14.14,1854.1,141.8
large_long,nomotor_xlink,2,r0002,160,8.0,actin,264,7.771,14.617,5.0,14.14,2051.6,184.3
large_long,nomotor_xlink,3,r0003,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,3,r0003,20,1.0,actin,96,12.254,0.15,11.567,12.544,1176.4,27.8
large_long,nomotor_xlink,3,r0003,40,2.0,actin,120,12.154,8.317,6.573,14.117,1458.5,54.5
large_long,nomotor_xlink,3,r0003,80,4.0,actin,168,9.835,15.427,5.0,14.161,1652.3,106.0
large_long,nomotor_xlink,3,r0003,120,6.0,actin,216,8.528,15.244,5.0,14.161,1842.1,156.2
large_long,nomotor_xlink,3,r0003,160,8.0,actin,264,7.712,13.833,5.0,14.161,2035.9,202.4
large_long,nomotor_xlink,4,r0004,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,4,r0004,20,1.0,actin,96,12.278,0.159,11.463,12.532,1178.7,24.4
large_long,nomotor_xlink,4,r0004,40,2.0,actin,120,12.183,8.499,6.537,14.07,1462.0,45.6
large_long,nomotor_xlink,4,r0004,80,4.0,actin,168,9.909,15.983,5.0,14.112,1664.7,88.0
large_long,nomotor_xlink,4,r0004,120,6.0,actin,216,8.618,16.03,5.0,14.112,1861.4,131.2
large_long,nomotor_xlink,4,r0004,160,8.0,actin,264,7.803,14.704,5.0,14.112,2060.0,172.6
large_long,nomotor_xlink,5,r0005,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,5,r0005,20,1.0,actin,96,12.232,0.16,11.567,12.563,1174.3,31.7
large_long,nomotor_xlink,5,r0005,40,2.0,actin,120,12.14,8.235,6.594,14.156,1456.9,60.4
large_long,nomotor_xlink,5,r0005,80,4.0,actin,168,9.799,15.216,5.0,14.201,1646.2,116.4
large_long,nomotor_xlink,5,r0005,120,6.0,actin,216,8.506,15.008,5.0,14.201,1837.3,165.4
large_long,nomotor_xlink,5,r0005,160,8.0,actin,264,7.698,13.591,5.0,14.201,2032.2,210.5
large_long,rotatable_xlink,1,r0006,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
