scenario,condition,replicate,run_dir,frame,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
large_long,nomotor_xlink,1,r0001,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,1,r0001,20,1.0,actin,96,12.282,0.157,11.346,12.529,1179.1,23.7
large_long,nomotor_xlink,1,r0001,40,2.0,actin,120,12.175,8.482,6.54,14.069,1461.1,46.5
large_long,nomotor_xlink,1,r0001,80,4.0,actin,168,9.885,15.803,5.0,14.112,1660.6,92.1
large_long,nomotor_xlink,1,r0001,120,6.0,actin,216,8.575,15.658,5.0,14.112,1852.3,140.4
large_long,nomotor_xlink,1,r0001,160,8.0,actin,264,7.753,14.268,5.0,14.112,2046.8,185.9
large_long,nomotor_xlink,2,r0002,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,2,r0002,20,1.0,actin,96,12.263,0.171,11.53,12.539,1177.2,26.6
large_long,nomotor_xlink,2,r0002,40,2.0,actin,120,12.167,8.432,6.557,14.096,1460.1,50.5
large_long,nomotor_xlink,2,r0002,80,4.0,actin,168,9.864,15.717,5.0,14.139,1657.1,98.7
large_long,nomotor_xlink,2,r0002,120,6.0,actin,216,8.573,15.68,5.0,14.139,1851.7,144.1
large_long,nomotor_xlink,2,r0002,160,8.0,actin,264,7.761,14.445,5.0,14.139,2049.0,186.8
large_long,nomotor_xlink,3,r0003,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,3,r0003,20,1.0,actin,96,12.247,0.162,11.586,12.552,1175.7,29.3
large_long,nomotor_xlink,3,r0003,40,2.0,actin,120,12.154,8.311,6.576,14.128,1458.4,55.7
large_long,nomotor_xlink,3,r0003,80,4.0,actin,168,9.858,15.513,5.0,14.172,1656.1,103.3
large_long,nomotor_xlink,3,r0003,120,6.0,actin,216,8.573,15.436,5.0,14.172,1851.8,147.6
large_long,nomotor_xlink,3,r0003,160,8.0,actin,264,7.766,14.164,5.0,14.172,2050.2,189.2
large_long,nomotor_xlink,4,r0004,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,4,r0004,20,1.0,actin,96,12.281,0.151,11.492,12.528,1179.0,23.7
large_long,nomotor_xlink,4,r0004,40,2.0,actin,120,12.182,8.485,6.538,14.066,1461.9,45.4
large_long,nomotor_xlink,4,r0004,80,4.0,actin,168,9.903,15.917,5.0,14.108,1663.7,88.6
large_long,nomotor_xlink,4,r0004,120,6.0,actin,216,8.628,16.03,5.0,14.108,1863.6,128.7
large_long,nomotor_xlink,4,r0004,160,8.0,actin,264,7.82,14.79,5.0,14.108,2064.4,167.9
large_long,nomotor_xlink,5,r0005,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,5,r0005,20,1.0,actin,96,12.232,0.153,11.618,12.561,1174.3,31.6
large_long,nomotor_xlink,5,r0005,40,2.0,actin,120,12.135,8.211,6.593,14.154,1456.2,60.8
large_long,nomotor_xlink,5,r0005,80,4.0,actin,168,9.783,15.051,5.0,14.2,1643.5,119.0
large_long,nomotor_xlink,5,r0005,120,6.0,actin,216,8.465,14.625,5.0,14.2,1828.5,174.0
large_long,nomotor_xlink,5,r0005,160,8.0,actin,264,7.644,13.146,5.0,14.2,2018.0,224.5
large_long,rotatable_xlink,1,r0006,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,1,r0006,20,1.0,actin,96,12.25,0.16,11.605,12.547,1176.0,28.5
large_long,rotatable_xlink,1,r0006,40,2.0,actin,120,12.134,8.194,6.587,14.135,1456.1,58.9
large_long,rotatable_xlink,1,r0006,80,4.0,actin,168,9.753,14.759,5.0,14.18,1638.5,122.0
large_long,rotatable_xlink,1,r0006,120,6.0,actin,216,8.363,13.701,4.616,14.18,1806.3,194.2
large_long,rotatable_xlink,1,r0006,160,8.0,actin,264,7.455,11.75,3.267,14.18,1968.2,272.3
large_long,rotatable_xlink,2,r0007,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,2,r0007,20,1.0,actin,96,12.273,0.159,11.514,12.533,1178.2,25.0
large_long,rotatable_xlink,2,r0007,40,2.0,actin,120,12.167,8.424,6.553,14.087,1460.0,49.6
large_long,rotatable_xlink,2,r0007,80,4.0,actin,168,9.789,15.076,5.0,14.13,1644.6,110.3
large_long,rotatable_xlink,2,r0007,120,6.0,actin,216,8.421,14.189,5.0,14.13,1818.9,176.0
large_long,rotatable_xlink,2,r0007,160,8.0,actin,264,7.549,12.237,4.792,14.13,1992.9,242.0
large_long,rotatable_xlink,3,r0008,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,3,r0008,20,1.0,actin,96,12.275,0.15,11.529,12.532,1178.4,24.6
large_long,rotatable_xlink,3,r0008,40,2.0,actin,120,12.17,8.421,6.548,14.08,1460.5,48.4
large_long,rotatable_xlink,3,r0008,80,4.0,actin,168,9.838,15.382,5.0,14.123,1652.7,101.3
large_long,rotatable_xlink,3,r0008,120,6.0,actin,216,8.459,14.485,4.133,14.123,1827.1,166.9
large_long,rotatable_xlink,3,r0008,160,8.0,actin,264,7.549,12.35,2.823,14.123,1993.0,241.0
large_long,rotatable_xlink,4,r0009,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,4,r0009,20,1.0,actin,96,12.266,0.162,11.517,12.538,1177.6,26.0
large_long,rotatable_xlink,4,r0009,40,2.0,actin,120,12.164,8.411,6.559,14.096,1459.7,51.0
large_long,rotatable_xlink,4,r0009,80,4.0,actin,168,9.838,15.495,5.0,14.14,1652.8,103.0
large_long,rotatable_xlink,4,r0009,120,6.0,actin,216,8.504,14.973,5.0,14.14,1837.0,158.9
large_long,rotatable_xlink,4,r0009,160,8.0,actin,264,7.62,12.961,3.95,14.14,2011.6,224.3
large_long,rotatable_xlink,5,r0010,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,5,r0010,20,1.0,actin,96,12.293,0.149,11.519,12.521,1180.1,21.9
large_long,rotatable_xlink,5,r0010,40,2.0,actin,120,12.184,8.513,6.529,14.05,1462.1,43.4
large_long,rotatable_xlink,5,r0010,80,4.0,actin,168,9.885,15.814,5.0,14.092,1660.7,89.8
large_long,rotatable_xlink,5,r0010,120,6.0,actin,216,8.563,15.484,5.0,14.092,1849.7,140.8
large_long,rotatable_xlink,5,r0010,160,8.0,actin,264,7.689,13.552,4.242,14.092,2030.0,200.5
small_long,nomotor_xlink,1,r0011,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,1,r0011,20,1.0,actin,12,11.432,0.109,11.058,11.748,137.2,3.8
small_long,nomotor_xlink,1,r0011,40,2.0,actin,15,11.834,13.088,4.933,14.181,177.5,7.5
small_long,nomotor_xlink,1,r0011,80,4.0,actin,21,9.198,26.4,2.5,14.636,193.2,14.8
small_long,nomotor_xlink,1,r0011,120,6.0,actin,27,7.42,25.885,2.5,14.636,200.3,22.6
small_long,nomotor_xlink,1,r0011,160,8.0,actin,33,6.266,22.317,2.5,14.636,206.8,31.2
small_long,nomotor_xlink,2,r0012,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,2,r0012,20,1.0,actin,12,11.39,0.114,11.01,11.767,136.7,4.5
small_long,nomotor_xlink,2,r0012,40,2.0,actin,15,11.797,12.798,4.98,14.247,177.0,8.9
small_long,nomotor_xlink,2,r0012,80,4.0,actin,21,9.136,25.448,2.5,14.753,191.8,18.0
small_long,nomotor_xlink,2,r0012,120,6.0,actin,27,7.303,24.216,2.5,14.76,197.2,27.8
small_long,nomotor_xlink,2,r0012,160,8.0,actin,33,6.139,20.32,2.5,14.76,202.6,37.4
small_long,nomotor_xlink,3,r0013,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,3,r0013,20,1.0,actin,12,11.422,0.102,10.996,11.749,137.1,3.9
small_long,nomotor_xlink,3,r0013,40,2.0,actin,15,11.829,13.009,4.943,14.193,177.4,7.7
small_long,nomotor_xlink,3,r0013,80,4.0,actin,21,9.15,25.729,2.5,14.669,192.1,16.4
small_long,nomotor_xlink,3,r0013,120,6.0,actin,27,7.34,24.691,2.5,14.672,198.2,25.4
small_long,nomotor_xlink,3,r0013,160,8.0,actin,33,6.267,21.902,2.5,14.672,206.8,31.8
small_long,nomotor_xlink,4,r0014,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,4,r0014,20,1.0,actin,12,11.559,0.072,10.715,11.649,138.7,1.1
small_long,nomotor_xlink,4,r0014,40,2.0,actin,15,11.912,13.695,4.812,13.962,178.7,3.3
small_long,nomotor_xlink,4,r0014,80,4.0,actin,21,9.26,27.49,2.5,14.328,194.5,8.9
small_long,nomotor_xlink,4,r0014,120,6.0,actin,27,7.535,27.444,2.5,14.328,203.4,15.0
small_long,nomotor_xlink,4,r0014,160,8.0,actin,33,6.455,24.648,2.5,14.328,213.0,20.4
small_long,nomotor_xlink,5,r0015,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,5,r0015,20,1.0,actin,12,11.516,0.095,10.858,11.683,138.2,2.0
small_long,nomotor_xlink,5,r0015,40,2.0,actin,15,11.891,13.584,4.845,14.029,178.4,4.5
small_long,nomotor_xlink,5,r0015,80,4.0,actin,21,9.2,26.71,2.5,14.433,193.2,11.8
small_long,nomotor_xlink,5,r0015,120,6.0,actin,27,7.435,26.087,2.5,14.433,200.8,19.2
small_long,nomotor_xlink,5,r0015,160,8.0,actin,33,6.343,23.145,2.5,14.433,209.3,25.7
small_long,rotatable_xlink,1,r0016,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,1,r0016,20,1.0,actin,12,11.42,0.121,10.928,11.742,137.0,3.9
small_long,rotatable_xlink,1,r0016,40,2.0,actin,15,11.821,12.989,4.951,14.194,177.3,7.9
small_long,rotatable_xlink,1,r0016,80,4.0,actin,21,9.088,24.456,2.518,14.725,190.9,18.7
small_long,rotatable_xlink,1,r0016,120,6.0,actin,27,7.243,22.617,2.5,14.744,195.6,29.4
small_long,rotatable_xlink,1,r0016,160,8.0,actin,33,6.082,18.728,2.5,14.744,200.7,39.3
small_long,rotatable_xlink,2,r0017,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,2,r0017,20,1.0,actin,12,11.441,0.141,10.937,11.743,137.3,3.6
small_long,rotatable_xlink,2,r0017,40,2.0,actin,15,11.843,13.228,4.921,14.164,177.7,7.1
small_long,rotatable_xlink,2,r0017,80,4.0,actin,21,9.138,25.749,2.5,14.616,191.9,15.8
small_long,rotatable_xlink,2,r0017,120,6.0,actin,27,7.287,24.511,2.5,14.622,196.7,26.1
small_long,rotatable_xlink,2,r0017,160,8.0,actin,33,6.083,19.862,2.5,14.399,200.7,37.1
small_long,rotatable_xlink,3,r0018,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,3,r0018,20,1.0,actin,12,11.488,0.12,10.909,11.707,137.9,2.6
small_long,rotatable_xlink,3,r0018,40,2.0,actin,15,11.882,13.523,4.871,14.078,178.2,5.3
small_long,rotatable_xlink,3,r0018,80,4.0,actin,21,9.264,27.53,2.5,14.472,194.6,10.9
small_long,rotatable_xlink,3,r0018,120,6.0,actin,27,7.404,26.166,2.183,14.472,199.9,20.5
small_long,rotatable_xlink,3,r0018,160,8.0,actin,33,6.252,22.232,2.183,14.472,206.3,29.1
small_long,rotatable_xlink,4,r0019,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,4,r0019,20,1.0,actin,12,11.489,0.147,10.718,11.699,137.9,2.5
small_long,rotatable_xlink,4,r0019,40,2.0,actin,15,11.897,13.687,4.859,14.058,178.5,4.8
small_long,rotatable_xlink,4,r0019,80,4.0,actin,21,9.148,26.727,2.5,14.441,192.1,12.9
small_long,rotatable_xlink,4,r0019,120,6.0,actin,27,7.23,24.588,2.5,14.3,195.2,24.9
small_long,rotatable_xlink,4,r0019,160,8.0,actin,33,6.086,20.957,2.5,13.321,200.8,34.3
small_long,rotatable_xlink,5,r0020,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,5,r0020,20,1.0,actin,12,11.569,0.043,10.941,11.645,138.8,0.9
small_long,rotatable_xlink,5,r0020,40,2.0,actin,15,11.942,13.818,4.79,13.935,179.1,2.5
small_long,rotatable_xlink,5,r0020,80,4.0,actin,21,9.301,28.028,2.5,14.247,195.3,6.7
small_long,rotatable_xlink,5,r0020,120,6.0,actin,27,7.538,27.349,2.5,14.247,203.5,13.5
small_long,rotatable_xlink,5,r0020,160,8.0,actin,33,6.371,23.293,2.5,14.247,210.2,21.8
