scenario,condition,replicate,run_dir,frame,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
large_long,nomotor_xlink,1,r0001,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,1,r0001,20,1.0,actin,96,12.147,0.612,10.6,12.623,1166.1,45.7
large_long,nomotor_xlink,1,r0001,40,2.0,actin,120,12.071,9.081,6.685,14.308,1448.5,85.5
large_long,nomotor_xlink,1,r0001,80,4.0,actin,168,9.707,17.1,5.0,14.358,1630.7,149.3
large_long,nomotor_xlink,1,r0001,120,6.0,actin,216,8.498,17.188,3.341,14.358,1835.7,184.3
large_long,nomotor_xlink,1,r0001,160,8.0,actin,264,7.732,15.623,2.497,14.358,2041.4,218.6
large_long,nomotor_xlink,2,r0002,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,2,r0002,20,1.0,actin,96,12.111,0.659,10.45,12.641,1162.7,50.8
large_long,nomotor_xlink,2,r0002,40,2.0,actin,120,12.04,9.033,6.728,14.368,1444.8,96.0
large_long,nomotor_xlink,2,r0002,80,4.0,actin,168,9.668,17.058,5.0,14.427,1624.2,163.9
large_long,nomotor_xlink,2,r0002,120,6.0,actin,216,8.437,17.512,2.552,14.427,1822.3,205.8
large_long,nomotor_xlink,2,r0002,160,8.0,actin,264,7.697,16.05,1.43,14.427,2032.0,236.1
large_long,nomotor_xlink,3,r0003,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,3,r0003,20,1.0,actin,96,12.089,0.618,10.667,12.665,1160.5,55.3
large_long,nomotor_xlink,3,r0003,40,2.0,actin,120,12.026,8.815,6.747,14.412,1443.1,102.3
large_long,nomotor_xlink,3,r0003,80,4.0,actin,168,9.619,16.719,5.0,14.481,1615.9,178.2
large_long,nomotor_xlink,3,r0003,120,6.0,actin,216,8.405,16.915,3.936,14.481,1815.4,218.7
large_long,nomotor_xlink,3,r0003,160,8.0,actin,264,7.701,15.377,3.08,14.481,2033.0,241.1
large_long,nomotor_xlink,4,r0004,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,4,r0004,20,1.0,actin,96,12.145,0.59,10.553,12.628,1165.9,46.4
large_long,nomotor_xlink,4,r0004,40,2.0,actin,120,12.082,9.014,6.676,14.304,1449.8,83.6
large_long,nomotor_xlink,4,r0004,80,4.0,actin,168,9.707,17.153,5.0,14.353,1630.8,148.5
large_long,nomotor_xlink,4,r0004,120,6.0,actin,216,8.468,17.645,2.322,14.353,1829.0,190.3
large_long,nomotor_xlink,4,r0004,160,8.0,actin,263,7.794,16.061,1.686,14.353,2049.9,195.1
large_long,nomotor_xlink,5,r0005,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,nomotor_xlink,5,r0005,20,1.0,actin,96,12.04,0.616,10.56,12.695,1155.8,62.8
large_long,nomotor_xlink,5,r0005,40,2.0,actin,120,11.989,8.576,6.802,14.497,1438.7,116.3
large_long,nomotor_xlink,5,r0005,80,4.0,actin,168,9.555,16.083,5.0,14.597,1605.3,202.7
large_long,nomotor_xlink,5,r0005,120,6.0,actin,216,8.308,16.329,3.598,14.597,1794.6,253.4
large_long,nomotor_xlink,5,r0005,160,8.0,actin,264,7.565,14.745,2.202,14.597,1997.1,290.9
large_long,rotatable_xlink,1,r0006,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,1,r0006,20,1.0,actin,96,12.078,0.6,10.681,12.661,1159.4,56.0
large_long,rotatable_xlink,1,r0006,40,2.0,actin,120,11.98,8.491,6.786,14.447,1437.5,112.2
large_long,rotatable_xlink,1,r0006,80,4.0,actin,168,9.411,15.198,5.0,14.597,1581.1,228.9
large_long,rotatable_xlink,1,r0006,120,6.0,actin,216,7.868,14.624,3.474,14.597,1699.5,350.6
large_long,rotatable_xlink,1,r0006,160,8.0,actin,264,6.842,13.261,0.773,14.597,1806.2,483.8
large_long,rotatable_xlink,2,r0007,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,2,r0007,20,1.0,actin,96,12.12,0.618,10.519,12.636,1163.6,49.5
large_long,rotatable_xlink,2,r0007,40,2.0,actin,120,11.999,8.797,6.748,14.384,1439.8,103.0
large_long,rotatable_xlink,2,r0007,80,4.0,actin,168,9.5,15.785,5.0,14.489,1596.0,200.6
large_long,rotatable_xlink,2,r0007,120,6.0,actin,216,8.183,15.707,2.443,14.489,1767.5,269.1
large_long,rotatable_xlink,2,r0007,160,8.0,actin,263,7.454,14.035,0.222,14.489,1960.3,301.8
large_long,rotatable_xlink,3,r0008,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,3,r0008,20,1.0,actin,96,12.137,0.59,10.572,12.625,1165.1,46.9
large_long,rotatable_xlink,3,r0008,40,2.0,actin,120,12.023,8.853,6.723,14.348,1442.7,96.1
large_long,rotatable_xlink,3,r0008,80,4.0,actin,168,9.545,16.112,5.0,14.431,1603.5,186.0
large_long,rotatable_xlink,3,r0008,120,6.0,actin,216,8.088,16.097,3.534,14.431,1747.0,282.4
large_long,rotatable_xlink,3,r0008,160,8.0,actin,263,7.236,15.467,0.351,14.431,1903.2,351.9
large_long,rotatable_xlink,4,r0009,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,4,r0009,20,1.0,actin,96,12.107,0.624,10.496,12.644,1162.2,51.6
large_long,rotatable_xlink,4,r0009,40,2.0,actin,120,11.992,8.55,6.751,14.394,1439.0,104.9
large_long,rotatable_xlink,4,r0009,80,4.0,actin,168,9.401,15.103,5.0,14.531,1579.4,222.9
large_long,rotatable_xlink,4,r0009,120,6.0,actin,216,7.932,15.489,2.927,14.531,1713.4,328.9
large_long,rotatable_xlink,4,r0009,160,8.0,actin,263,7.177,15.095,0.203,14.531,1887.5,380.3
large_long,rotatable_xlink,5,r0010,0,0.0,actin,96,5.0,0.0,5.0,5.0,480.0,0.0
large_long,rotatable_xlink,5,r0010,20,1.0,actin,96,12.152,0.603,10.53,12.613,1166.6,44.3
large_long,rotatable_xlink,5,r0010,40,2.0,actin,120,12.072,9.028,6.68,14.293,1448.6,83.8
large_long,rotatable_xlink,5,r0010,80,4.0,actin,168,9.596,16.664,5.0,14.349,1612.2,167.1
large_long,rotatable_xlink,5,r0010,120,6.0,actin,216,8.117,16.186,2.647,14.349,1753.4,265.9
large_long,rotatable_xlink,5,r0010,160,8.0,actin,263,7.062,14.31,0.253,14.349,1857.2,387.7
small_long,nomotor_xlink,1,r0011,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,1,r0011,20,1.0,actin,12,11.201,0.515,10.293,11.884,134.4,8.2
small_long,nomotor_xlink,1,r0011,40,2.0,actin,15,11.647,12.661,5.185,14.568,174.7,15.7
small_long,nomotor_xlink,1,r0011,80,4.0,actin,21,9.057,25.485,2.558,15.311,190.2,28.5
small_long,nomotor_xlink,1,r0011,120,6.0,actin,27,7.437,26.45,2.5,15.338,200.8,33.4
small_long,nomotor_xlink,1,r0011,160,8.0,actin,33,6.473,24.765,2.5,15.338,213.6,35.6
small_long,nomotor_xlink,2,r0012,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,2,r0012,20,1.0,actin,12,11.16,0.446,10.507,11.912,133.9,9.0
small_long,nomotor_xlink,2,r0012,40,2.0,actin,15,11.631,12.228,5.229,14.641,174.5,16.9
small_long,nomotor_xlink,2,r0012,80,4.0,actin,21,9.042,24.617,2.557,15.416,189.9,30.4
small_long,nomotor_xlink,2,r0012,120,6.0,actin,27,7.249,24.559,2.5,15.452,195.7,40.3
small_long,nomotor_xlink,2,r0012,160,8.0,actin,33,6.255,22.179,2.5,15.452,206.4,44.6
small_long,nomotor_xlink,3,r0013,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,3,r0013,20,1.0,actin,12,11.289,0.421,10.342,11.851,135.5,6.7
small_long,nomotor_xlink,3,r0013,40,2.0,actin,15,11.75,13.079,5.053,14.404,176.2,11.8
small_long,nomotor_xlink,3,r0013,80,4.0,actin,21,9.094,25.78,2.512,15.023,191.0,23.0
small_long,nomotor_xlink,3,r0013,120,6.0,actin,27,7.43,26.089,2.5,15.04,200.6,28.7
small_long,nomotor_xlink,3,r0013,160,8.0,actin,33,6.431,24.395,2.5,15.04,212.2,32.1
small_long,nomotor_xlink,4,r0014,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,4,r0014,20,1.0,actin,12,11.533,0.237,9.987,11.674,138.4,1.7
small_long,nomotor_xlink,4,r0014,40,2.0,actin,15,11.896,13.841,4.827,14.001,178.4,4.1
small_long,nomotor_xlink,4,r0014,80,4.0,actin,21,9.203,27.016,2.5,14.437,193.3,11.9
small_long,nomotor_xlink,4,r0014,120,6.0,actin,27,7.522,27.435,2.5,14.437,203.1,17.0
small_long,nomotor_xlink,4,r0014,160,8.0,actin,33,6.414,24.41,2.5,14.437,211.6,23.5
small_long,nomotor_xlink,5,r0015,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,nomotor_xlink,5,r0015,20,1.0,actin,12,11.432,0.336,10.076,11.752,137.2,3.8
small_long,nomotor_xlink,5,r0015,40,2.0,actin,15,11.821,13.795,4.924,14.176,177.3,7.6
small_long,nomotor_xlink,5,r0015,80,4.0,actin,21,9.173,26.895,2.5,14.691,192.6,16.3
small_long,nomotor_xlink,5,r0015,120,6.0,actin,27,7.434,26.798,2.5,14.691,200.7,23.2
small_long,nomotor_xlink,5,r0015,160,8.0,actin,33,6.313,23.266,2.324,14.691,208.3,30.6
small_long,rotatable_xlink,1,r0016,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,1,r0016,20,1.0,actin,12,11.222,0.504,10.162,11.872,134.7,7.8
small_long,rotatable_xlink,1,r0016,40,2.0,actin,15,11.624,12.465,5.185,14.556,174.4,15.9
small_long,rotatable_xlink,1,r0016,80,4.0,actin,21,8.93,23.12,2.708,15.55,187.5,36.0
small_long,rotatable_xlink,1,r0016,120,6.0,actin,27,7.032,21.853,2.544,15.826,189.9,55.2
small_long,rotatable_xlink,1,r0016,160,8.0,actin,33,5.833,19.07,2.467,15.948,192.5,71.1
small_long,rotatable_xlink,2,r0017,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,2,r0017,20,1.0,actin,12,11.266,0.512,10.24,11.841,135.2,6.9
small_long,rotatable_xlink,2,r0017,40,2.0,actin,15,11.683,12.745,5.147,14.489,175.3,14.1
small_long,rotatable_xlink,2,r0017,80,4.0,actin,21,8.972,24.856,2.593,15.209,188.4,28.9
small_long,rotatable_xlink,2,r0017,120,6.0,actin,27,7.049,23.212,2.528,15.415,190.3,46.9
small_long,rotatable_xlink,2,r0017,160,8.0,actin,33,5.824,19.905,2.329,15.486,192.2,62.0
small_long,rotatable_xlink,3,r0018,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,3,r0018,20,1.0,actin,12,11.257,0.443,10.104,11.817,135.1,6.7
small_long,rotatable_xlink,3,r0018,40,2.0,actin,15,11.689,12.268,5.156,14.474,175.3,13.8
small_long,rotatable_xlink,3,r0018,80,4.0,actin,21,9.172,25.714,2.5,15.058,192.6,21.8
small_long,rotatable_xlink,3,r0018,120,6.0,actin,27,7.366,25.142,2.5,15.058,198.9,30.6
small_long,rotatable_xlink,3,r0018,160,8.0,actin,33,6.208,22.197,2.5,15.058,204.9,39.6
small_long,rotatable_xlink,4,r0019,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,4,r0019,20,1.0,actin,12,11.382,0.527,10.059,11.781,136.6,4.8
small_long,rotatable_xlink,4,r0019,40,2.0,actin,15,11.775,13.84,4.988,14.269,176.6,9.6
small_long,rotatable_xlink,4,r0019,80,4.0,actin,21,9.166,27.82,2.5,14.816,192.5,18.3
small_long,rotatable_xlink,4,r0019,120,6.0,actin,27,7.55,28.535,2.5,14.816,203.9,22.0
small_long,rotatable_xlink,4,r0019,160,8.0,actin,33,6.559,26.599,2.5,14.816,216.5,24.4
small_long,rotatable_xlink,5,r0020,0,0.0,actin,12,2.5,0.0,2.5,2.5,30.0,0.0
small_long,rotatable_xlink,5,r0020,20,1.0,actin,12,11.569,0.074,10.707,11.647,138.8,0.9
small_long,rotatable_xlink,5,r0020,40,2.0,actin,15,11.946,13.996,4.8,13.947,179.2,2.6
small_long,rotatable_xlink,5,r0020,80,4.0,actin,21,9.188,27.382,2.5,14.333,192.9,10.6
small_long,rotatable_xlink,5,r0020,120,6.0,actin,27,7.41,26.637,2.5,14.333,200.1,18.5
small_long,rotatable_xlink,5,r0020,160,8.0,actin,33,6.349,23.713,2.5,14.333,209.5,24.0
