scenario,condition,replicate,run_dir,frame,time_s,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
full_height_aligned,fixed_global_xlink,1,r0001,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,fixed_global_xlink,1,r0001,120,120.0,2.0,actin,64,14.714,0.149,14.149,15.039,941.7,20.8
full_height_aligned,fixed_global_xlink,1,r0001,180,180.0,3.0,actin,64,15.479,0.327,14.645,15.96,990.6,30.8
full_height_aligned,fixed_global_xlink,1,r0001,780,780.0,13.0,actin,64,15.807,4.748,13.09,18.304,1011.7,159.8
full_height_aligned,fixed_global_xlink,2,r0002,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,fixed_global_xlink,2,r0002,120,120.0,2.0,actin,64,14.727,0.149,14.034,15.007,942.5,17.9
full_height_aligned,fixed_global_xlink,2,r0002,180,180.0,3.0,actin,64,15.489,0.324,14.403,15.917,991.3,27.4
full_height_aligned,fixed_global_xlink,2,r0002,780,780.0,13.0,actin,64,15.816,4.908,12.569,18.161,1012.2,150.0
full_height_aligned,fixed_global_xlink,3,r0003,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,fixed_global_xlink,3,r0003,120,120.0,2.0,actin,64,14.694,0.145,14.153,15.069,940.4,24.0
full_height_aligned,fixed_global_xlink,3,r0003,180,180.0,3.0,actin,64,15.458,0.315,14.668,16.015,989.3,35.7
full_height_aligned,fixed_global_xlink,3,r0003,780,780.0,13.0,actin,64,15.81,3.967,13.352,18.48,1011.8,170.9
full_height_aligned,fixed_global_xlink,4,r0004,0,0.0,0.0,actin,64,4.999,0.0,4.958,5.0,320.0,0.0
full_height_aligned,fixed_global_xlink,4,r0004,120,120.0,2.0,actin,64,14.721,0.153,14.087,15.018,942.2,18.9
full_height_aligned,fixed_global_xlink,4,r0004,180,180.0,3.0,actin,64,15.474,0.317,14.55,15.941,990.3,29.8
full_height_aligned,fixed_global_xlink,4,r0004,780,780.0,13.0,actin,64,15.807,4.273,13.083,18.397,1011.7,165.7
full_height_aligned,fixed_global_xlink,5,r0005,0,0.0,0.0,actin,64,5.0,0.0,4.969,5.0,320.0,0.0
full_height_aligned,fixed_global_xlink,5,r0005,120,120.0,2.0,actin,64,14.716,0.138,14.162,15.04,941.8,20.7
full_height_aligned,fixed_global_xlink,5,r0005,180,180.0,3.0,actin,64,15.48,0.314,14.612,15.961,990.7,30.7
full_height_aligned,fixed_global_xlink,5,r0005,780,780.0,13.0,actin,64,15.808,4.211,13.235,18.323,1011.7,160.9
full_height_aligned,nomotor_xlink,1,r0006,0,0.0,0.0,actin,64,4.999,0.0,4.963,5.0,320.0,0.0
full_height_aligned,nomotor_xlink,1,r0006,120,120.0,2.0,actin,64,14.701,0.14,14.136,15.056,940.9,22.6
full_height_aligned,nomotor_xlink,1,r0006,180,180.0,3.0,actin,64,15.458,0.303,14.595,15.996,989.3,34.4
full_height_aligned,nomotor_xlink,1,r0006,780,780.0,13.0,actin,64,15.828,5.058,12.571,18.276,1013.0,156.7
full_height_aligned,nomotor_xlink,2,r0007,0,0.0,0.0,actin,64,5.0,0.0,4.994,5.0,320.0,0.0
full_height_aligned,nomotor_xlink,2,r0007,120,120.0,2.0,actin,64,14.717,0.146,14.151,15.034,941.9,20.3
full_height_aligned,nomotor_xlink,2,r0007,180,180.0,3.0,actin,64,15.482,0.322,14.676,15.953,990.9,30.2
full_height_aligned,nomotor_xlink,2,r0007,780,780.0,13.0,actin,64,15.829,5.313,12.649,18.14,1013.1,147.9
full_height_aligned,nomotor_xlink,3,r0008,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,nomotor_xlink,3,r0008,120,120.0,2.0,actin,64,14.726,0.156,14.085,15.011,942.5,18.2
full_height_aligned,nomotor_xlink,3,r0008,180,180.0,3.0,actin,64,15.489,0.335,14.601,15.92,991.3,27.6
full_height_aligned,nomotor_xlink,3,r0008,780,780.0,13.0,actin,64,15.822,4.761,12.523,18.161,1012.6,149.7
full_height_aligned,nomotor_xlink,4,r0009,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,nomotor_xlink,4,r0009,120,120.0,2.0,actin,64,14.725,0.151,14.019,15.017,942.4,18.7
full_height_aligned,nomotor_xlink,4,r0009,180,180.0,3.0,actin,64,15.482,0.327,14.445,15.932,990.9,28.8
full_height_aligned,nomotor_xlink,4,r0009,780,780.0,13.0,actin,64,15.837,5.178,12.322,18.057,1013.6,142.1
full_height_aligned,nomotor_xlink,5,r0010,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,nomotor_xlink,5,r0010,120,120.0,2.0,actin,64,14.722,0.153,14.011,15.017,942.2,18.8
full_height_aligned,nomotor_xlink,5,r0010,180,180.0,3.0,actin,64,15.483,0.309,14.514,15.933,990.9,28.8
full_height_aligned,nomotor_xlink,5,r0010,780,780.0,13.0,actin,64,15.816,4.898,12.415,18.137,1012.2,148.6
full_height_aligned,rotatable_xlink,1,r0011,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,rotatable_xlink,1,r0011,120,120.0,2.0,actin,64,14.732,0.147,13.997,15.005,942.9,17.5
full_height_aligned,rotatable_xlink,1,r0011,180,180.0,3.0,actin,64,15.502,0.323,14.418,15.905,992.1,25.8
full_height_aligned,rotatable_xlink,1,r0011,780,780.0,13.0,actin,64,15.826,3.702,12.757,18.164,1012.9,149.6
full_height_aligned,rotatable_xlink,2,r0012,0,0.0,0.0,actin,63,5.0,0.0,5.0,5.0,315.0,0.0
full_height_aligned,rotatable_xlink,2,r0012,120,120.0,2.0,actin,63,14.911,0.156,14.211,15.193,939.4,17.8
full_height_aligned,rotatable_xlink,2,r0012,180,180.0,3.0,actin,63,15.713,0.33,14.706,16.14,989.9,26.9
full_height_aligned,rotatable_xlink,2,r0012,780,780.0,13.0,actin,63,16.072,4.428,12.92,18.452,1012.5,149.9
full_height_aligned,rotatable_xlink,3,r0013,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
full_height_aligned,rotatable_xlink,3,r0013,120,120.0,2.0,actin,64,14.729,0.159,13.929,15.002,942.7,17.5
full_height_aligned,rotatable_xlink,3,r0013,180,180.0,3.0,actin,64,15.487,0.35,14.356,15.912,991.2,27.2
full_height_aligned,rotatable_xlink,3,r0013,780,780.0,13.0,actin,64,15.835,4.786,12.443,18.224,1013.4,152.9
full_height_aligned,rotatable_xlink,4,r0014,0,0.0,0.0,actin,64,5.0,0.0,4.975,5.0,320.0,0.0
