scenario,condition,run_dir,run_path,status,frame_mode,growth_end_min,motor_onset_min
full_height_aligned,fixed_global_xlink,r0001,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0001,ok,with_initial,2.0,3.0
full_height_aligned,fixed_global_xlink,r0002,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0002,ok,with_initial,2.0,3.0
full_height_aligned,fixed_global_xlink,r0003,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0003,ok,with_initial,2.0,3.0
full_height_aligned,fixed_global_xlink,r0004,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0004,ok,with_initial,2.0,3.0
full_height_aligned,fixed_global_xlink,r0005,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0005,ok,with_initial,2.0,3.0
full_height_aligned,nomotor_xlink,r0006,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0006,ok,with_initial,2.0,3.0
full_height_aligned,nomotor_xlink,r0007,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0007,ok,with_initial,2.0,3.0
full_height_aligned,nomotor_xlink,r0008,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0008,ok,with_initial,2.0,3.0
full_height_aligned,nomotor_xlink,r0009,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0009,ok,with_initial,2.0,3.0
full_height_aligned,nomotor_xlink,r0010,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0010,ok,with_initial,2.0,3.0
full_height_aligned,rotatable_xlink,r0011,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0011,ok,with_initial,2.0,3.0
full_height_aligned,rotatable_xlink,r0012,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0012,ok,with_initial,2.0,3.0
full_height_aligned,rotatable_xlink,r0013,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0013,ok,with_initial,2.0,3.0
full_height_aligned,rotatable_xlink,r0014,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0014,ok,with_initial,2.0,3.0
full_height_aligned,rotatable_xlink,r0015,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0015,ok,with_initial,2.0,3.0
top_two_thirds_aligned,fixed_global_xlink,r0016,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0016,ok,with_initial,2.0,3.0
top_two_thirds_aligned,fixed_global_xlink,r0017,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0017,ok,with_initial,2.0,3.0
top_two_thirds_aligned,fixed_global_xlink,r0018,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0018,ok,with_initial,2.0,3.0
top_two_thirds_aligned,fixed_global_xlink,r0019,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0019,ok,with_initial,2.0,3.0
top_two_thirds_aligned,fixed_global_xlink,r0020,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0020,ok,with_initial,2.0,3.0
top_two_thirds_aligned,nomotor_xlink,r0021,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0021,ok,with_initial,2.0,3.0
top_two_thirds_aligned,nomotor_xlink,r0022,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0022,ok,with_initial,2.0,3.0
top_two_thirds_aligned,nomotor_xlink,r0023,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0023,ok,with_initial,2.0,3.0
top_two_thirds_aligned,nomotor_xlink,r0024,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0024,ok,with_initial,2.0,3.0
top_two_thirds_aligned,nomotor_xlink,r0025,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0025,ok,with_initial,2.0,3.0
top_two_thirds_aligned,rotatable_xlink,r0026,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0026,ok,with_initial,2.0,3.0
top_two_thirds_aligned,rotatable_xlink,r0027,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0027,ok,with_initial,2.0,3.0
top_two_thirds_aligned,rotatable_xlink,r0028,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0028,ok,with_initial,2.0,3.0
top_two_thirds_aligned,rotatable_xlink,r0029,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0029,ok,with_initial,2.0,3.0
top_two_thirds_aligned,rotatable_xlink,r0030,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0030,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,fixed_global_xlink,r0031,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0031,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,fixed_global_xlink,r0032,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0032,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,fixed_global_xlink,r0033,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0033,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,fixed_global_xlink,r0034,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0034,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,fixed_global_xlink,r0035,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0035,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,nomotor_xlink,r0036,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0036,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,nomotor_xlink,r0037,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0037,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,nomotor_xlink,r0038,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0038,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,nomotor_xlink,r0039,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0039,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,nomotor_xlink,r0040,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0040,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,rotatable_xlink,r0041,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0041,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,rotatable_xlink,r0042,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0042,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,rotatable_xlink,r0043,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0043,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,rotatable_xlink,r0044,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0044,ok,with_initial,2.0,3.0
top_two_thirds_mixed_polarity,rotatable_xlink,r0045,/home/thekaka/project/cytosim/turnover_mini_minus_chew/job00/save/r0045,ok,with_initial,2.0,3.0
