case,description,replicate,seed,config,aster,chewers,fiber_count,initial_length_um,max_length_um,cap_angle_rad,steps,frames,duration_s,turnover_onset_s
01_symmetric_short_no_chewer,Symmetric short nucleus-bound aster without localized turnover factors.,r0001,76101,01_symmetric_short_no_chewer/r0001/config.cym,symmetric,none,24,2.0,2.5,,12000,60,60.0,
01_symmetric_short_no_chewer,Symmetric short nucleus-bound aster without localized turnover factors.,r0002,76102,01_symmetric_short_no_chewer/r0002/config.cym,symmetric,none,24,2.0,2.5,,12000,60,60.0,
01_symmetric_short_no_chewer,Symmetric short nucleus-bound aster without localized turnover factors.,r0003,76103,01_symmetric_short_no_chewer/r0003/config.cym,symmetric,none,24,2.0,2.5,,12000,60,60.0,
02_symmetric_short_one_sided_chewer,Symmetric short nucleus-bound aster with fixed turnover factors on the minus-x side.,r0001,76201,02_symmetric_short_one_sided_chewer/r0001/config.cym,symmetric,minus_x_fixed,24,2.0,2.5,,12000,60,60.0,
02_symmetric_short_one_sided_chewer,Symmetric short nucleus-bound aster with fixed turnover factors on the minus-x side.,r0002,76202,02_symmetric_short_one_sided_chewer/r0002/config.cym,symmetric,minus_x_fixed,24,2.0,2.5,,12000,60,60.0,
02_symmetric_short_one_sided_chewer,Symmetric short nucleus-bound aster with fixed turnover factors on the minus-x side.,r0003,76203,02_symmetric_short_one_sided_chewer/r0003/config.cym,symmetric,minus_x_fixed,24,2.0,2.5,,12000,60,60.0,
03_cap_short_no_chewer,One-sided minus-x angular-cap aster without localized turnover factors.,r0001,76301,03_cap_short_no_chewer/r0001/config.cym,minus_x_cap,none,24,2.0,2.5,0.85,12000,60,60.0,
03_cap_short_no_chewer,One-sided minus-x angular-cap aster without localized turnover factors.,r0002,76302,03_cap_short_no_chewer/r0002/config.cym,minus_x_cap,none,24,2.0,2.5,0.85,12000,60,60.0,
03_cap_short_no_chewer,One-sided minus-x angular-cap aster without localized turnover factors.,r0003,76303,03_cap_short_no_chewer/r0003/config.cym,minus_x_cap,none,24,2.0,2.5,0.85,12000,60,60.0,
04_cap_short_one_sided_chewer,One-sided minus-x angular-cap aster with fixed turnover factors on the same side.,r0001,76401,04_cap_short_one_sided_chewer/r0001/config.cym,minus_x_cap,minus_x_fixed,24,2.0,2.5,0.85,12000,60,60.0,
04_cap_short_one_sided_chewer,One-sided minus-x angular-cap aster with fixed turnover factors on the same side.,r0002,76402,04_cap_short_one_sided_chewer/r0002/config.cym,minus_x_cap,minus_x_fixed,24,2.0,2.5,0.85,12000,60,60.0,
04_cap_short_one_sided_chewer,One-sided minus-x angular-cap aster with fixed turnover factors on the same side.,r0003,76403,04_cap_short_one_sided_chewer/r0003/config.cym,minus_x_cap,minus_x_fixed,24,2.0,2.5,0.85,12000,60,60.0,
05_no_nucleator_fixed_chewer_control,Nucleus body with fixed one-sided turnover factors but no actin nucleator.,r0001,76501,05_no_nucleator_fixed_chewer_control/r0001/config.cym,none,minus_x_fixed,0,2.0,2.5,,12000,60,60.0,
05_no_nucleator_fixed_chewer_control,Nucleus body with fixed one-sided turnover factors but no actin nucleator.,r0002,76502,05_no_nucleator_fixed_chewer_control/r0002/config.cym,none,minus_x_fixed,0,2.0,2.5,,12000,60,60.0,
05_no_nucleator_fixed_chewer_control,Nucleus body with fixed one-sided turnover factors but no actin nucleator.,r0003,76503,05_no_nucleator_fixed_chewer_control/r0003/config.cym,none,minus_x_fixed,0,2.0,2.5,,12000,60,60.0,
06_symmetric_short_delayed_one_sided_chewer,Symmetric short aster; one-sided fixed turnover factors introduced after filaments reach the length cap.,r0001,76601,06_symmetric_short_delayed_one_sided_chewer/r0001/config.cym,symmetric,delayed_minus_x_fixed,24,2.0,2.5,,12000,60,60.0,4.0
06_symmetric_short_delayed_one_sided_chewer,Symmetric short aster; one-sided fixed turnover factors introduced after filaments reach the length cap.,r0002,76602,06_symmetric_short_delayed_one_sided_chewer/r0002/config.cym,symmetric,delayed_minus_x_fixed,24,2.0,2.5,,12000,60,60.0,4.0
06_symmetric_short_delayed_one_sided_chewer,Symmetric short aster; one-sided fixed turnover factors introduced after filaments reach the length cap.,r0003,76603,06_symmetric_short_delayed_one_sided_chewer/r0003/config.cym,symmetric,delayed_minus_x_fixed,24,2.0,2.5,,12000,60,60.0,4.0
07_cap_short_delayed_one_sided_chewer,One-sided minus-x angular-cap aster; same-side fixed turnover factors introduced after filaments reach the length cap.,r0001,76701,07_cap_short_delayed_one_sided_chewer/r0001/config.cym,minus_x_cap,delayed_minus_x_fixed,24,2.0,2.5,0.85,12000,60,60.0,4.0
07_cap_short_delayed_one_sided_chewer,One-sided minus-x angular-cap aster; same-side fixed turnover factors introduced after filaments reach the length cap.,r0002,76702,07_cap_short_delayed_one_sided_chewer/r0002/config.cym,minus_x_cap,delayed_minus_x_fixed,24,2.0,2.5,0.85,12000,60,60.0,4.0
07_cap_short_delayed_one_sided_chewer,One-sided minus-x angular-cap aster; same-side fixed turnover factors introduced after filaments reach the length cap.,r0003,76703,07_cap_short_delayed_one_sided_chewer/r0003/config.cym,minus_x_cap,delayed_minus_x_fixed,24,2.0,2.5,0.85,12000,60,60.0,4.0
