case,description,replicate,seed,config,aster,direction,fiber_count,initial_length_um,max_length_um,total_polymer_um,duration_s,duration_min,frames,box_length
01_symmetric_dense_treadmill,Symmetric dense nucleus-bound actin aster with treadmilling-only turnover.,r0001,78101,production/01_symmetric_dense_treadmill/r0001/config.cym,symmetric,,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
01_symmetric_dense_treadmill,Symmetric dense nucleus-bound actin aster with treadmilling-only turnover.,r0002,78102,production/01_symmetric_dense_treadmill/r0002/config.cym,symmetric,,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
01_symmetric_dense_treadmill,Symmetric dense nucleus-bound actin aster with treadmilling-only turnover.,r0003,78103,production/01_symmetric_dense_treadmill/r0003/config.cym,symmetric,,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
02_minus_x_cap_dense_treadmill,Dense one-sided minus-x cap aster with treadmilling-only turnover.,r0001,78201,production/02_minus_x_cap_dense_treadmill/r0001/config.cym,cap,-1 0 0,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
02_minus_x_cap_dense_treadmill,Dense one-sided minus-x cap aster with treadmilling-only turnover.,r0002,78202,production/02_minus_x_cap_dense_treadmill/r0002/config.cym,cap,-1 0 0,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
02_minus_x_cap_dense_treadmill,Dense one-sided minus-x cap aster with treadmilling-only turnover.,r0003,78203,production/02_minus_x_cap_dense_treadmill/r0003/config.cym,cap,-1 0 0,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
03_plus_x_cap_dense_treadmill,Dense one-sided plus-x cap aster; direction-flip control.,r0001,78301,production/03_plus_x_cap_dense_treadmill/r0001/config.cym,cap,1 0 0,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
03_plus_x_cap_dense_treadmill,Dense one-sided plus-x cap aster; direction-flip control.,r0002,78302,production/03_plus_x_cap_dense_treadmill/r0002/config.cym,cap,1 0 0,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
03_plus_x_cap_dense_treadmill,Dense one-sided plus-x cap aster; direction-flip control.,r0003,78303,production/03_plus_x_cap_dense_treadmill/r0003/config.cym,cap,1 0 0,120,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
04_no_nucleator_control,Nucleus body without actin nucleation; passive drift baseline.,r0001,78401,production/04_no_nucleator_control/r0001/config.cym,none,,0,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
04_no_nucleator_control,Nucleus body without actin nucleation; passive drift baseline.,r0002,78402,production/04_no_nucleator_control/r0002/config.cym,none,,0,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
04_no_nucleator_control,Nucleus body without actin nucleation; passive drift baseline.,r0003,78403,production/04_no_nucleator_control/r0003/config.cym,none,,0,0.1,1.0,12000,300.0,5.0,300,32.0 16.0 2.0
