case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
01_symmetric_aster_no_external,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
01_symmetric_aster_no_external,1,1.0,0.016666666666666666,1,-0.0003,nan,0.0041,nan,0.0005,nan,0.004141255848169731,nan
01_symmetric_aster_no_external,2,2.0,0.03333333333333333,1,-0.0002,nan,0.0054,nan,0.006,nan,0.00807465169527454,nan
01_symmetric_aster_no_external,3,3.0,0.05,1,-0.0062,nan,0.0015,nan,0.009,nan,0.011031319050775387,nan
01_symmetric_aster_no_external,4,4.0,0.06666666666666667,1,-0.0064,nan,0.0008,nan,0.0084,nan,0.01059056183589898,nan
01_symmetric_aster_no_external,5,5.0,0.08333333333333333,1,-0.0021,nan,0.0008,nan,-0.0025,nan,0.003361547262794322,nan
01_symmetric_aster_no_external,6,6.0,0.1,1,-0.0001,nan,0.005,nan,-0.003,nan,0.005831809324729333,nan
01_symmetric_aster_no_external,7,7.0,0.11666666666666667,1,0.0019,nan,0.0092,nan,-0.0058,nan,0.011040380428228006,nan
01_symmetric_aster_no_external,8,8.0,0.13333333333333333,1,0.0017,nan,0.0095,nan,-0.0077,nan,0.012346254492760143,nan
01_symmetric_aster_no_external,9,9.0,0.15,1,0.0038,nan,0.0076,nan,-0.0038,nan,0.009308061022576078,nan
01_symmetric_aster_no_external,10,10.0,0.16666666666666666,1,-0.0007,nan,0.0114,nan,-0.0018,nan,0.011562439189029277,nan
01_symmetric_aster_no_external,11,11.0,0.18333333333333332,1,0.0019,nan,0.0138,nan,-0.0051,nan,0.014834419435893,nan
01_symmetric_aster_no_external,12,12.0,0.2,1,-0.0024,nan,0.0119,nan,-0.004,nan,0.01278162743941475,nan
01_symmetric_aster_no_external,13,13.0,0.21666666666666667,1,-0.0038,nan,0.0168,nan,-0.0038,nan,0.01763859404827947,nan
01_symmetric_aster_no_external,14,14.0,0.23333333333333334,1,-0.0039,nan,0.0169,nan,-0.0037,nan,0.01773442979066426,nan
01_symmetric_aster_no_external,15,15.0,0.25,1,-0.0002,nan,0.0099,nan,-0.005,nan,0.011092790451459904,nan
01_symmetric_aster_no_external,16,16.0,0.26666666666666666,1,-0.0049,nan,0.0103,nan,-0.011,nan,0.015846135175493107,nan
01_symmetric_aster_no_external,17,17.0,0.2833333333333333,1,-0.0081,nan,0.0143,nan,-0.0047,nan,0.017093566041057672,nan
01_symmetric_aster_no_external,18,18.0,0.3,1,-0.0093,nan,0.009,nan,-0.0033,nan,0.013355897573731238,nan
01_symmetric_aster_no_external,19,19.0,0.31666666666666665,1,-0.0065,nan,0.009,nan,0.0015,nan,0.011202678251204039,nan
01_symmetric_aster_no_external,20,20.0,0.3333333333333333,1,-0.0051,nan,0.0072,nan,0.0064,nan,0.0109,nan
02_plus_x_cap_no_external,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
02_plus_x_cap_no_external,1,1.0,0.016666666666666666,1,0.0014,nan,0.0029,nan,-0.0029,nan,0.00433358973600409,nan
02_plus_x_cap_no_external,2,2.0,0.03333333333333333,1,0.0079,nan,0.0003,nan,-0.0007,nan,0.00793662396740579,nan
02_plus_x_cap_no_external,3,3.0,0.05,1,0.015,nan,0.0029,nan,-0.0014,nan,0.015341773039645712,nan
02_plus_x_cap_no_external,4,4.0,0.06666666666666667,1,0.024,nan,-0.0017,nan,-0.0004,nan,0.0240634577731464,nan
02_plus_x_cap_no_external,5,5.0,0.08333333333333333,1,0.0334,nan,-0.0047,nan,-0.0038,nan,0.033942451296274996,nan
02_plus_x_cap_no_external,6,6.0,0.1,1,0.0323,nan,-0.0089,nan,-0.0085,nan,0.03456515586540874,nan
02_plus_x_cap_no_external,7,7.0,0.11666666666666667,1,0.0333,nan,-0.0088,nan,-0.0085,nan,0.03547647107591171,nan
