run_dir,case,replicate,frame,time_s,time_min,dx,dy,dz,net_displacement
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,0,0.0,0.0,0.0,0.0,0.0,0.0
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,1,1.0,0.016666666666666666,-0.0003,0.0041,0.0005,0.004141255848169731
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,2,2.0,0.03333333333333333,-0.0002,0.0054,0.006,0.00807465169527454
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,3,3.0,0.05,-0.0062,0.0015,0.009,0.011031319050775387
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,4,4.0,0.06666666666666667,-0.0064,0.0008,0.0084,0.01059056183589898
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,5,5.0,0.08333333333333333,-0.0021,0.0008,-0.0025,0.003361547262794322
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,6,6.0,0.1,-0.0001,0.005,-0.003,0.005831809324729333
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,7,7.0,0.11666666666666667,0.0019,0.0092,-0.0058,0.011040380428228006
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,8,8.0,0.13333333333333333,0.0017,0.0095,-0.0077,0.012346254492760143
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,9,9.0,0.15,0.0038,0.0076,-0.0038,0.009308061022576078
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,10,10.0,0.16666666666666666,-0.0007,0.0114,-0.0018,0.011562439189029277
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,11,11.0,0.18333333333333332,0.0019,0.0138,-0.0051,0.014834419435893
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,12,12.0,0.2,-0.0024,0.0119,-0.004,0.01278162743941475
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,13,13.0,0.21666666666666667,-0.0038,0.0168,-0.0038,0.01763859404827947
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,14,14.0,0.23333333333333334,-0.0039,0.0169,-0.0037,0.01773442979066426
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,15,15.0,0.25,-0.0002,0.0099,-0.005,0.011092790451459904
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,16,16.0,0.26666666666666666,-0.0049,0.0103,-0.011,0.015846135175493107
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,17,17.0,0.2833333333333333,-0.0081,0.0143,-0.0047,0.017093566041057672
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,18,18.0,0.3,-0.0093,0.009,-0.0033,0.013355897573731238
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,19,19.0,0.31666666666666665,-0.0065,0.009,0.0015,0.011202678251204039
/home/thekaka/project/cytosim/ast/nuclear_propulsion_mechanism_mockups/01_quick_20s/01_symmetric_aster_no_external/r0001,01_symmetric_aster_no_external,r0001,20,20.0,0.3333333333333333,-0.0051,0.0072,0.0064,0.0109
