case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
01_symmetric_aster_no_external,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
01_symmetric_aster_no_external,1,1.0,0.016666666666666666,1,0.0012,nan,0.0034,nan,-0.0013,nan,0.00383275357934736,nan
01_symmetric_aster_no_external,2,2.0,0.03333333333333333,1,0.0023,nan,0.003,nan,0.001,nan,0.003910242959203431,nan
01_symmetric_aster_no_external,3,3.0,0.05,1,-0.0002,nan,0.006,nan,-0.0013,nan,0.006142475071174485,nan
01_symmetric_aster_no_external,4,4.0,0.06666666666666667,1,-0.0044,nan,0.0054,nan,0.0008,nan,0.007011419257183242,nan
01_symmetric_aster_no_external,5,5.0,0.08333333333333333,1,-0.0003,nan,0.006,nan,0.0027,nan,0.006586349520030045,nan
01_symmetric_aster_no_external,6,6.0,0.1,1,-0.0005,nan,0.009,nan,0.0068,nan,0.011291146974510604,nan
01_symmetric_aster_no_external,7,7.0,0.11666666666666667,1,-0.005,nan,0.014,nan,0.0046,nan,0.015561490931141527,nan
01_symmetric_aster_no_external,8,8.0,0.13333333333333333,1,-0.0052,nan,0.0148,nan,0.0025,nan,0.015884898488816353,nan
02_plus_x_cap_no_external,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
02_plus_x_cap_no_external,1,1.0,0.016666666666666666,1,-0.0004,nan,-0.0007,nan,-0.0031,nan,0.0032031234756093934,nan
02_plus_x_cap_no_external,2,2.0,0.03333333333333333,1,0.0012,nan,-0.0009,nan,-0.0045,nan,0.004743416490252569,nan
02_plus_x_cap_no_external,3,3.0,0.05,1,0.0035,nan,-0.0026,nan,-0.0044,nan,0.006194352266379432,nan
02_plus_x_cap_no_external,4,4.0,0.06666666666666667,1,0.0065,nan,-0.0017,nan,-0.0015,nan,0.006884039511798287,nan
02_plus_x_cap_no_external,5,5.0,0.08333333333333333,1,0.0086,nan,0.001,nan,0.0028,nan,0.00909945053286186,nan
02_plus_x_cap_no_external,6,6.0,0.1,1,0.0109,nan,-0.0009,nan,0.0047,nan,0.011904200939164292,nan
02_plus_x_cap_no_external,7,7.0,0.11666666666666667,1,0.0146,nan,0.0042,nan,0.0031,nan,0.015505160431288675,nan
02_plus_x_cap_no_external,8,8.0,0.13333333333333333,1,0.0127,nan,0.0051,nan,0.0022,nan,0.01386145735483827,nan
03_plus_x_cap_fixed_binders,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
03_plus_x_cap_fixed_binders,1,1.0,0.016666666666666666,1,0.0054,nan,-0.0012,nan,0.003,nan,0.00629285308902091,nan
03_plus_x_cap_fixed_binders,2,2.0,0.03333333333333333,1,0.0254,nan,0.0005,nan,0.0013,nan,0.02543816031084009,nan
03_plus_x_cap_fixed_binders,3,3.0,0.05,1,0.0755,nan,0.0055,nan,0.0064,nan,0.07597012570741211,nan
03_plus_x_cap_fixed_binders,4,4.0,0.06666666666666667,1,0.1636,nan,0.0107,nan,0.0008,nan,0.16395148672701934,nan
03_plus_x_cap_fixed_binders,5,5.0,0.08333333333333333,1,0.2701,nan,0.0195,nan,-0.0027,nan,0.27081645075585786,nan
03_plus_x_cap_fixed_binders,6,6.0,0.1,1,0.3871,nan,0.0332,nan,-0.0051,nan,0.38855457789093156,nan
03_plus_x_cap_fixed_binders,7,7.0,0.11666666666666667,1,0.5044,nan,0.0418,nan,-0.0048,nan,0.5061517954131941,nan
03_plus_x_cap_fixed_binders,8,8.0,0.13333333333333333,1,0.6178,nan,0.0562,nan,-0.0078,nan,0.6203999677627329,nan
04_plus_x_cap_fixed_plus_motors,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
04_plus_x_cap_fixed_plus_motors,1,1.0,0.016666666666666666,1,-0.0014,nan,0.004,nan,-0.0015,nan,0.0044955533585978045,nan
04_plus_x_cap_fixed_plus_motors,2,2.0,0.03333333333333333,1,-0.0023,nan,0.0029,nan,-0.005,nan,0.006220932405998316,nan
04_plus_x_cap_fixed_plus_motors,3,3.0,0.05,1,-0.0087,nan,0.0044,nan,-0.0044,nan,0.010696261028976434,nan
04_plus_x_cap_fixed_plus_motors,4,4.0,0.06666666666666667,1,-0.0128,nan,0.0077,nan,-0.005,nan,0.015752142711390093,nan
04_plus_x_cap_fixed_plus_motors,5,5.0,0.08333333333333333,1,-0.02,nan,0.0077,nan,-0.0006,nan,0.021439449619801345,nan
04_plus_x_cap_fixed_plus_motors,6,6.0,0.1,1,-0.0342,nan,0.0053,nan,-0.0024,nan,0.034691353389569565,nan
