case,description,mode,aster,external,replicate,seed,config,duration_s,duration_min,frames,nucleus_viscosity,box_length,aster_fibers,push_fibers,max_length_um
01_symmetric_aster_no_external,Symmetric nucleus-bound aster; no external traction.,aster,symmetric,none,r0001,91101,production/01_symmetric_aster_no_external/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
01_symmetric_aster_no_external,Symmetric nucleus-bound aster; no external traction.,aster,symmetric,none,r0002,91102,production/01_symmetric_aster_no_external/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
01_symmetric_aster_no_external,Symmetric nucleus-bound aster; no external traction.,aster,symmetric,none,r0003,91103,production/01_symmetric_aster_no_external/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
02_plus_x_cap_no_external,Plus-x one-sided aster; geometry-only directional-bias control.,aster,plus_x_cap,none,r0001,91201,production/02_plus_x_cap_no_external/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
02_plus_x_cap_no_external,Plus-x one-sided aster; geometry-only directional-bias control.,aster,plus_x_cap,none,r0002,91202,production/02_plus_x_cap_no_external/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
02_plus_x_cap_no_external,Plus-x one-sided aster; geometry-only directional-bias control.,aster,plus_x_cap,none,r0003,91203,production/02_plus_x_cap_no_external/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
03_plus_x_cap_fixed_binders,Plus-x one-sided aster with fixed non-motor binders on the plus-x side.,aster,plus_x_cap,binders,r0001,91301,production/03_plus_x_cap_fixed_binders/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
03_plus_x_cap_fixed_binders,Plus-x one-sided aster with fixed non-motor binders on the plus-x side.,aster,plus_x_cap,binders,r0002,91302,production/03_plus_x_cap_fixed_binders/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
03_plus_x_cap_fixed_binders,Plus-x one-sided aster with fixed non-motor binders on the plus-x side.,aster,plus_x_cap,binders,r0003,91303,production/03_plus_x_cap_fixed_binders/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
04_plus_x_cap_fixed_plus_motors,Plus-x one-sided aster with fixed plus-end-directed motors on the plus-x side.,aster,plus_x_cap,plus_motors,r0001,91401,production/04_plus_x_cap_fixed_plus_motors/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
04_plus_x_cap_fixed_plus_motors,Plus-x one-sided aster with fixed plus-end-directed motors on the plus-x side.,aster,plus_x_cap,plus_motors,r0002,91402,production/04_plus_x_cap_fixed_plus_motors/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
04_plus_x_cap_fixed_plus_motors,Plus-x one-sided aster with fixed plus-end-directed motors on the plus-x side.,aster,plus_x_cap,plus_motors,r0003,91403,production/04_plus_x_cap_fixed_plus_motors/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
05_symmetric_aster_fixed_plus_motors,Symmetric aster with one-sided fixed plus-end-directed motors.,aster,symmetric,plus_motors,r0001,91501,production/05_symmetric_aster_fixed_plus_motors/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
05_symmetric_aster_fixed_plus_motors,Symmetric aster with one-sided fixed plus-end-directed motors.,aster,symmetric,plus_motors,r0002,91502,production/05_symmetric_aster_fixed_plus_motors/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
05_symmetric_aster_fixed_plus_motors,Symmetric aster with one-sided fixed plus-end-directed motors.,aster,symmetric,plus_motors,r0003,91503,production/05_symmetric_aster_fixed_plus_motors/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
06_plus_x_cap_fixed_minus_motors,Plus-x one-sided aster with fixed minus-end-directed motors on the plus-x side.,aster,plus_x_cap,minus_motors,r0001,91601,production/06_plus_x_cap_fixed_minus_motors/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
06_plus_x_cap_fixed_minus_motors,Plus-x one-sided aster with fixed minus-end-directed motors on the plus-x side.,aster,plus_x_cap,minus_motors,r0002,91602,production/06_plus_x_cap_fixed_minus_motors/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
06_plus_x_cap_fixed_minus_motors,Plus-x one-sided aster with fixed minus-end-directed motors on the plus-x side.,aster,plus_x_cap,minus_motors,r0003,91603,production/06_plus_x_cap_fixed_minus_motors/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
07_symmetric_aster_fixed_minus_motors,Symmetric aster with one-sided fixed minus-end-directed motors.,aster,symmetric,minus_motors,r0001,91701,production/07_symmetric_aster_fixed_minus_motors/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
07_symmetric_aster_fixed_minus_motors,Symmetric aster with one-sided fixed minus-end-directed motors.,aster,symmetric,minus_motors,r0002,91702,production/07_symmetric_aster_fixed_minus_motors/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
07_symmetric_aster_fixed_minus_motors,Symmetric aster with one-sided fixed minus-end-directed motors.,aster,symmetric,minus_motors,r0003,91703,production/07_symmetric_aster_fixed_minus_motors/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,56,0,3.0
08_push_filaments_unanchored,Lab-frame filaments seeded on the minus-x side and growing toward the nucleus; no anchors.,push,,none,r0001,91801,production/08_push_filaments_unanchored/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,0,48,3.0
08_push_filaments_unanchored,Lab-frame filaments seeded on the minus-x side and growing toward the nucleus; no anchors.,push,,none,r0002,91802,production/08_push_filaments_unanchored/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,0,48,3.0
08_push_filaments_unanchored,Lab-frame filaments seeded on the minus-x side and growing toward the nucleus; no anchors.,push,,none,r0003,91803,production/08_push_filaments_unanchored/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,0,48,3.0
09_push_filaments_fixed_binders,"Lab-frame growing filaments aimed at the nucleus, with fixed binders anchoring the minus-x side.",push,,push_binders,r0001,91901,production/09_push_filaments_fixed_binders/r0001/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,0,48,3.0
09_push_filaments_fixed_binders,"Lab-frame growing filaments aimed at the nucleus, with fixed binders anchoring the minus-x side.",push,,push_binders,r0002,91902,production/09_push_filaments_fixed_binders/r0002/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,0,48,3.0
09_push_filaments_fixed_binders,"Lab-frame growing filaments aimed at the nucleus, with fixed binders anchoring the minus-x side.",push,,push_binders,r0003,91903,production/09_push_filaments_fixed_binders/r0003/config.cym,90.0,1.5,90,80,18.0 9.0 1.4,0,48,3.0
