system,system_label,case,case_index,description,replicate,seed,config,steric,microtubules,mt_mode,actin_mode,division,steps,frames,duration_s,box_x,box_y,box_z,scale_factor,material_scale,actin_total_polymer,actin_max_length,fixed_mt_length,mt_fibers_per_site
small_system,small 12x12x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0001,62101,small_system/01_actin_only_perinuclear_long/r0001/config.cym,1,False,none,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0002,62102,small_system/01_actin_only_perinuclear_long/r0002/config.cym,1,False,none,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0003,62103,small_system/01_actin_only_perinuclear_long/r0003/config.cym,1,False,none,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0004,62104,small_system/01_actin_only_perinuclear_long/r0004/config.cym,1,False,none,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0005,62105,small_system/01_actin_only_perinuclear_long/r0005/config.cym,1,False,none,perinuclear,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0001,62201,small_system/02_fixed_mt_uniform_actin_long/r0001/config.cym,1,True,fixed,uniform,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0002,62202,small_system/02_fixed_mt_uniform_actin_long/r0002/config.cym,1,True,fixed,uniform,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0003,62203,small_system/02_fixed_mt_uniform_actin_long/r0003/config.cym,1,True,fixed,uniform,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0004,62204,small_system/02_fixed_mt_uniform_actin_long/r0004/config.cym,1,True,fixed,uniform,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0005,62205,small_system/02_fixed_mt_uniform_actin_long/r0005/config.cym,1,True,fixed,uniform,False,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
