model,group,case,run,cluster_count,motors_per_cluster,total_motors,template_dir,cluster_source,initial_filament_direction,notes,path
rotatable,total480,c10_m48,r0001,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0001/config.cym
rotatable,total480,c10_m48,r0002,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0002/config.cym
rotatable,total480,c10_m48,r0003,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0003/config.cym
rotatable,total480,c10_m48,r0004,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0004/config.cym
rotatable,total480,c10_m48,r0005,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0005/config.cym
rotatable,total480,c10_m48,r0006,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0006/config.cym
rotatable,total480,c10_m48,r0007,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0007/config.cym
rotatable,total480,c10_m48,r0008,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0008/config.cym
rotatable,total480,c10_m48,r0009,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0009/config.cym
rotatable,total480,c10_m48,r0010,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0010/config.cym
rotatable,total480,c10_m48,r0011,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0011/config.cym
rotatable,total480,c10_m48,r0012,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0012/config.cym
rotatable,total480,c10_m48,r0013,10,48,480,10,10,0 0 -1,seed_templates/10 with minus-z filament initialization,clu_init_minusz/total480/c10_m48/r0013/config.cym
