kind,size,condition,replicate,path,inner_radius,outer_radius,bottom_z,top_z,chewer_zone_bottom,chewer_zone_top,initial_filaments,pulse_filaments,n_pulses,initial_crosslinkers,pulse_crosslinkers,n_chewers,chewer_count_multiplier,chewing_speed,max_chewing_speed,n_clusters,motors_per_cluster,total_motors,total_polymer,run_seconds,total_seconds,notes
cluster,full_comparable,nomotor_xlink,1,cluster_runs/full_comparable/nomotor_xlink/r0001/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,2,cluster_runs/full_comparable/nomotor_xlink/r0002/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,3,cluster_runs/full_comparable/nomotor_xlink/r0003/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,4,cluster_runs/full_comparable/nomotor_xlink/r0004/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,5,cluster_runs/full_comparable/nomotor_xlink/r0005/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,6,cluster_runs/full_comparable/nomotor_xlink/r0006/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,7,cluster_runs/full_comparable/nomotor_xlink/r0007/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,8,cluster_runs/full_comparable/nomotor_xlink/r0008/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,9,cluster_runs/full_comparable/nomotor_xlink/r0009/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,nomotor_xlink,10,cluster_runs/full_comparable/nomotor_xlink/r0010/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,0,0,0,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,1,cluster_runs/full_comparable/rotatable_xlink/r0001/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,2,cluster_runs/full_comparable/rotatable_xlink/r0002/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,3,cluster_runs/full_comparable/rotatable_xlink/r0003/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,4,cluster_runs/full_comparable/rotatable_xlink/r0004/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,5,cluster_runs/full_comparable/rotatable_xlink/r0005/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,6,cluster_runs/full_comparable/rotatable_xlink/r0006/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,7,cluster_runs/full_comparable/rotatable_xlink/r0007/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,8,cluster_runs/full_comparable/rotatable_xlink/r0008/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,9,cluster_runs/full_comparable/rotatable_xlink/r0009/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
cluster,full_comparable,rotatable_xlink,10,cluster_runs/full_comparable/rotatable_xlink/r0010/config.cym,10.5,11.0,-20.0,20.0,-20.0,-8.0,256,64,13,1024,256,2048,2,1.6,3.0,80,12,960,19008.0,60.0,840.0,full comparable aggressive turnover config
